smi,rename_category
C(#N)C1=C(S[Ni]2(S1)SC(=C(S2)C#N)C#N)C#N,ion_1
C(#N)[C-](C#N)C#N,ion_2
C(#N)[Ni](C#N)([C+]=[N-])[C+]=[N-],ion_3
C(#N)[S-],ion_4
C(=O)([O-])[O-],ion_5
C(=[N-])=S,ion_6
C(=[N-])=[Se],ion_7
C(F)(F)(F)S(=O)(=O)[O-],ion_8
C1(=O)C(=O)O[Cr]23(O1)(OC(=O)C(=O)O2)OC(=O)C(=O)O3,ion_9
Cl[Fe](Cl)(Cl)Cl,ion_10
FP(F)(F)(F)(F)F,ion_11
F[As](F)(F)(F)(F)F,ion_12
F[Sb](F)(F)(F)(F)F,ion_13
II[I-],ion_14
N(=O)(=O)[O-],ion_15
[B-](F)(F)(F)F,ion_16
[B-](c1ccccc1)(c2ccccc2)(c3ccccc3)c4ccccc4,ion_17
[BH]123[BH]45[BH]167[BH]289[BH]31[BH]823[BH]966[BH]744[BH]622[CH]454[CH]321[Co]41234[BH]567[BH]118[BH]559[BH]66%10[BH]722[BH]667[BH]%1055[BH]911[BH]565[CH]318[CH]4752,ion_18
[Br-],ion_19
[Cl-],ion_20
[F-],ion_21
[I-],ion_22
[N+]12([O+]3[O+]1[O+]23)[Fe],ion_23
[O-]Cl(=O)(=O)=O,ion_24
c12c(sc(=S)s1)S[Ni]3(S2)Sc4c(sc(=S)s4)S3,ion_25
c1cc(cc(c1)S(=O)(=O)[O-])N,ion_26
c1cc(ccc1N)S(=O)(=O)[O-],ion_27
c1cc2ccc3ccc[n+]4c3c2[n+](c1)[Cr]456(OC(=O)C(=O)O5)OC(=O)C(=O)O6,ion_28
c1cc[n+]2c(c1)-c3cccc[n+]3[Cr]245(OC(=O)C(=O)O4)OC(=O)C(=O)O5,ion_29
c1cnc2c(n1)[Se][Cu]3([Se]2)[Se]c4c(nccn4)[Se]3,ion_30
c1cnccc1C(=O)[O-],ion_31
