Unnamed: 0,smi,chg,coord_no,memo
GAPSIA_ligands0.mol2,c1cc(nc(c1)n2cccn2)n3cccn3,0,3,
ADIYUH_ligands0.mol2,c1cc(nc(c1)n2cccn2)n3cccn3,0,3,
GAPSOG_ligands0.mol2,c1cc(nc(c1)n2cccn2)n3cccn3,0,3,
OZOGIV_ligands0.mol2,c1cc(nc(c1)n2cccn2)n3cccn3,0,3,
ECELAA_ligands0.mol2,c1cc(nc(c1)n2cccn2)n3cccn3,0,3,
ECELEE01_ligands0.mol2,c1cc(nc(c1)n2cccn2)n3cccn3,0,3,
ECELII_ligands0.mol2,Cc1ccn(n1)c2cccc(n2)n3ccc(n3)C,0,3,
GAPTAT_ligands0.mol2,CC(C)c1ccn(n1)c2cccc(n2)n3ccc(n3)C(C)C,0,3,
GAPTEX_ligands0.mol2,CCOC(=O)c1ccn(n1)c2cccc(n2)n3ccc(n3)C(=O)OCC,0,3,
GAPSUM_ligands0.mol2,c1ccc(cc1)c2ccn(n2)c3cccc(n3)n4ccc(n4)c5ccccc5,0,3,
GAPSUM01_ligands0.mol2,c1ccc(cc1)c2ccn(n2)c3cccc(n3)n4ccc(n4)c5ccccc5,0,3,
GAPTIB_ligands0.mol2,c1cc(nc(c1)n2ccc(n2)CO)n3ccc(n3)CO,0,3,
FOYYAU_ligands0.mol2,c1cnn(c1)c2cc(cc(n2)n3cccn3)CSC#N,0,3,
DEDNOQ_ligands0.mol2,c1cnn(c1)c2cncc(n2)n3cccn3,0,3,
XENBEX06_ligands0.mol2,c1cc(nc(c1)n2cccn2)n3cccn3,0,3,
XENBEX07_ligands0.mol2,c1cc(nc(c1)n2cccn2)n3cccn3,0,3,
ADIYOB_ligands0.mol2,c1cc(nc(c1)n2cccn2)n3cccn3,0,3,
LUXMOH_ligands0.mol2,c1cc(nc(c1)n2cccn2)n3cccn3,0,3,
LUXMOH01_ligands0.mol2,c1cc(nc(c1)n2cccn2)n3cccn3,0,3,
AFANEB02_ligands0.mol2,Cc1ccn(n1)c2cccc(n2)n3ccc(n3)C,0,3,
AFANEB_ligands0.mol2,Cc1ccn(n1)c2cccc(n2)n3ccc(n3)C,0,3,
AFANIF02_ligands0.mol2,Cc1ccn(n1)c2cccc(n2)n3ccc(n3)C,0,3,
NESVUD_ligands0.mol2,Cc1cnn(c1)c2cccc(n2)n3cc(cn3)C,0,3,
NESVUD01_ligands0.mol2,Cc1cnn(c1)c2cccc(n2)n3cc(cn3)C,0,3,
REWPUF_ligands0.mol2,c1cc(nc(c1)n2cc(cn2)Cl)n3cc(cn3)Cl,0,3,
REWPUF02_ligands0.mol2,c1cc(nc(c1)n2cc(cn2)Cl)n3cc(cn3)Cl,0,3,
REWPOZ_ligands0.mol2,c1cc(nc(c1)n2cc(cn2)Br)n3cc(cn3)Br,0,3,
IYUFOX01_ligands0.mol2,c1cnn(c1)c2cc(cc(n2)n3cccn3)CO,0,3,
IYUFOX_ligands0.mol2,c1cnn(c1)c2cc(cc(n2)n3cccn3)CO,0,3,
NESVOX_ligands0.mol2,c1cnn(c1)c2cc(cc(n2)n3cccn3)CO,0,3,
NESVOX02_ligands0.mol2,c1cnn(c1)c2cc(cc(n2)n3cccn3)CO,0,3,
FOYYAU06_ligands0.mol2,c1cnn(c1)c2cc(cc(n2)n3cccn3)CSC#N,0,3,
FOYYAU02_ligands0.mol2,c1cnn(c1)c2cc(cc(n2)n3cccn3)CSC#N,0,3,
COMRAY_ligands0.mol2,c1cnn(c1)c2cc(cc(n2)n3cccn3)I,0,3,
XOCFIF_ligands0.mol2,CC(=O)Sc1ccc(cc1)C#Cc2cc(nc(c2)n3cccn3)n4cccn4,0,3,
COMREC_ligands0.mol2,c1cnn(c1)c2cc(cc(n2)n3cccn3)c4ccc(cc4)O,0,3,
YUZTOD_ligands0.mol2,c1cc(cnc1)c2cc(nc(c2)n3cccn3)n4cccn4,0,3,
YUZTIX_ligands0.mol2,c1cc(cnc1)c2cc(nc(c2)n3cccn3)n4cccn4,0,3,
JAFCEZ_ligands0.mol2,c1cnn(c1)c2cncc(n2)n3cccn3,0,3,
JAFCEZ01_ligands0.mol2,c1cnn(c1)c2cncc(n2)n3cccn3,0,3,
JAFBOI01_ligands0.mol2,Cc1ccn(n1)c2cncc(n2)n3ccc(n3)C,0,3,
JAFBOI03_ligands0.mol2,Cc1ccn(n1)c2cncc(n2)n3ccc(n3)C,0,3,
JAFBUO01_ligands0.mol2,Cc1ccn(n1)c2cncc(n2)n3ccc(n3)C,0,3,
JAFBUO03_ligands0.mol2,Cc1ccn(n1)c2cncc(n2)n3ccc(n3)C,0,3,
IGEDUU_ligands0.mol2,c1cc(nc(c1)n2cc(cn2)I)n3cc(cn3)I,0,3,
RESWES_ligands0.mol2,[BH-](n1c(c(c(n1)C)C)C)(n2c(c(c(n2)C)C)C)n3c(c(c(n3)C)C)C,-1,3,
OBUJAW_ligands0.mol2,[BH-](n1ccc(n1)C(F)(F)F)(n2ccc(n2)C(F)(F)F)n3ccc(n3)C(F)(F)F,-1,3,
OBUJAW_ligands1.mol2,[BH-](n1ccc(n1)C(F)(F)F)(n2ccc(n2)C(F)(F)F)n3ccc(n3)C(F)(F)F,-1,3,
CERDEJ01_ligands0.mol2,[B-](c1ccccc1)(n2ccc(n2)C)(n3ccc(n3)C)n4ccc(n4)C,-1,3,
MALJIT_ligands0.mol2,[B-](c1ccc(cc1)I)(n2ccc(n2)C)(n3ccc(n3)C)n4ccc(n4)C,-1,3,
HMPBFE_ligands0.mol2,[BH-](n1c(cc(n1)C)C)(n2c(cc(n2)C)C)n3c(cc(n3)C)C,-1,3,
FIWXIT_ligands0.mol2,[B-](c1ccc(cc1)C#C[Si](C)(C)C)(n2ccc(n2)C)(n3ccc(n3)C)n4ccc(n4)C,-1,3,
FIWXEP_ligands0.mol2,[B-](c1ccc(cc1)C#Cc2ccccc2)(n3ccc(n3)C)(n4ccc(n4)C)n5ccc(n5)C,-1,3,
RESWIW_ligands0.mol2,[B-](n1ccc(n1)C2CC2)(n3ccc(n3)C4CC4)(n5ccc(n5)C6CC6)n7ccc(n7)C8CC8,-1,3,
RESWIW01_ligands0.mol2,[B-](n1ccc(n1)C2CC2)(n3ccc(n3)C4CC4)(n5ccc(n5)C6CC6)n7ccc(n7)C8CC8,-1,3,
MALJIT01_ligands0.mol2,[B-](c1ccc(cc1)I)(n2ccc(n2)C)(n3ccc(n3)C)n4ccc(n4)C,-1,3,
MALJIT03_ligands0.mol2,[B-](c1ccc(cc1)I)(n2ccc(n2)C)(n3ccc(n3)C)n4ccc(n4)C,-1,3,
MALJOZ_ligands0.mol2,[B-](c1ccc(cc1)I)(n2ccc(n2)C)(n3ccc(n3)C)n4ccc(n4)C,-1,3,
MALJOZ01_ligands0.mol2,[B-](c1ccc(cc1)I)(n2ccc(n2)C)(n3ccc(n3)C)n4ccc(n4)C,-1,3,
FIWXOZ02_ligands0.mol2,[B-](c1ccc(cc1)C#C)(n2ccc(n2)C)(n3ccc(n3)C)n4ccc(n4)C,-1,3,
