ccdc_id,coord_no_1,coord_no_2,coord_no_3,coord_no_4,coord_no_5,coord_no_6
ABISOV,2.0,0.0,0.0,1.0,0.0,0.0
ABISOV02,2.0,0.0,0.0,1.0,0.0,0.0
ABITEM,2.0,0.0,0.0,1.0,0.0,0.0
ABITEM01,2.0,0.0,0.0,1.0,0.0,0.0
ABITUC,2.0,0.0,0.0,1.0,0.0,0.0
ABITUC01,2.0,0.0,0.0,1.0,0.0,0.0
ABIVAK,2.0,0.0,0.0,1.0,0.0,0.0
ABIVAK01,2.0,0.0,0.0,1.0,0.0,0.0
ABIWAK,0.0,3.0,0.0,0.0,0.0,0.0
ABUFOV,0.0,0.0,2.0,0.0,0.0,0.0
ABUGAI,0.0,0.0,2.0,0.0,0.0,0.0
ADIYOB,0.0,0.0,2.0,0.0,0.0,0.0
ADIYUH,0.0,0.0,2.0,0.0,0.0,0.0
AFANEB,0.0,0.0,2.0,0.0,0.0,0.0
AFANEB02,0.0,0.0,2.0,0.0,0.0,0.0
AFANIF02,0.0,0.0,2.0,0.0,0.0,0.0
AFOYOM,2.0,0.0,0.0,1.0,0.0,0.0
AFOYUS,2.0,0.0,0.0,1.0,0.0,0.0
AFOYUS02,2.0,0.0,0.0,1.0,0.0,0.0
AFUJOD01,2.0,0.0,0.0,1.0,0.0,0.0
AJAXEP,2.0,2.0,0.0,0.0,0.0,0.0
AKEMUY,2.0,2.0,0.0,0.0,0.0,0.0
AKENAF,2.0,2.0,0.0,0.0,0.0,0.0
AKENAF01,2.0,2.0,0.0,0.0,0.0,0.0
APAFEH,0.0,3.0,0.0,0.0,0.0,0.0
APAFEM01,0.0,3.0,0.0,0.0,0.0,0.0
APAFEM05,0.0,3.0,0.0,0.0,0.0,0.0
ATAVAU,2.0,2.0,0.0,0.0,0.0,0.0
ATAVEY,2.0,2.0,0.0,0.0,0.0,0.0
ATAVEY01,2.0,2.0,0.0,0.0,0.0,0.0
AWUKEK01,0.0,0.0,2.0,0.0,0.0,0.0
BAXXAB01,2.0,0.0,0.0,1.0,0.0,0.0
BAYZEH,2.0,2.0,0.0,0.0,0.0,0.0
BAYZEH01,2.0,2.0,0.0,0.0,0.0,0.0
BOCYOK,2.0,2.0,0.0,0.0,0.0,0.0
BOCYOK02,2.0,2.0,0.0,0.0,0.0,0.0
BOCZEB,2.0,2.0,0.0,0.0,0.0,0.0
BOCZEB03,2.0,2.0,0.0,0.0,0.0,0.0
BUNSIN,0.0,0.0,0.0,0.0,0.0,1.0
BUNSIN01,0.0,0.0,0.0,0.0,0.0,1.0
CATWUS,0.0,3.0,0.0,0.0,0.0,0.0
CECVUD,2.0,0.0,0.0,1.0,0.0,0.0
CERDEJ01,0.0,0.0,2.0,0.0,0.0,0.0
COLJAO,0.0,0.0,2.0,0.0,0.0,0.0
COMQUR,2.0,2.0,0.0,0.0,0.0,0.0
COMQUR01,2.0,2.0,0.0,0.0,0.0,0.0
COMRAY,0.0,0.0,2.0,0.0,0.0,0.0
COMREC,0.0,0.0,2.0,0.0,0.0,0.0
DEDNOQ,0.0,0.0,2.0,0.0,0.0,0.0
DEVDUD,0.0,3.0,0.0,0.0,0.0,0.0
DIXLUR10,0.0,3.0,0.0,0.0,0.0,0.0
DOMQED,0.0,0.0,2.0,0.0,0.0,0.0
DOMQIH,0.0,0.0,2.0,0.0,0.0,0.0
DOMQON,0.0,0.0,2.0,0.0,0.0,0.0
DOMQUT,0.0,0.0,2.0,0.0,0.0,0.0
