ccdc_id,smi,Spin-state behaviour,Spin-state of crystal structure,rename_id
FETPYR,C(=[N-])=S,high-spin,high-spin,lig_1
WIGBAP,C(=[N-])=S,high-spin,high-spin,lig_1
WIFZUG,C(=[N-])=S,spin-crossover,high-spin,lig_1
AKENAF,C(=[N-])=S,spin-crossover,high-spin,lig_1
AKENAF01,C(=[N-])=S,spin-crossover,low-spin,lig_1
RONPIT41,C(=[N-])=S,spin-crossover,high-spin,lig_1
RONPIT39,C(=[N-])=S,spin-crossover,low-spin,lig_1
RONPIT26,C(=[N-])=S,spin-crossover,high-spin,lig_1
RONPIT34,C(=[N-])=S,spin-crossover,low-spin,lig_1
NOWBIK01,C(=[N-])=S,spin-crossover,high-spin,lig_1
NOWBIK,C(=[N-])=S,spin-crossover,low-spin,lig_1
XECNAU01,C(=[N-])=S,spin-crossover,high-spin,lig_1
XECNAU,C(=[N-])=S,spin-crossover,low-spin,lig_1
XECMIB01,C(=[N-])=S,spin-crossover,high-spin,lig_1
XECMIB02,C(=[N-])=S,spin-crossover,low-spin,lig_1
COMQUR,C(=[N-])=S,spin-crossover,high-spin,lig_1
COMQUR01,C(=[N-])=S,spin-crossover,low-spin,lig_1
UFIPIJ01,C(=[N-])=S,spin-crossover,high-spin,lig_1
UFIPIJ,C(=[N-])=S,spin-crossover,low-spin,lig_1
POGXOA,C(=[N-])=S,high-spin,high-spin,lig_1
FEBPYC04,C(=[N-])=S,spin-crossover,high-spin,lig_1
FEBPYC02,C(=[N-])=S,spin-crossover,low-spin,lig_1
KEKVIF,C(=[N-])=S,spin-crossover,high-spin,lig_1
KEKVIF01,C(=[N-])=S,spin-crossover,low-spin,lig_1
PAGXAW,C(=[N-])=S,high-spin,high-spin,lig_1
POHLON,C(=[N-])=S,spin-crossover,high-spin,lig_1
POHLON01,C(=[N-])=S,spin-crossover,low-spin,lig_1
POWSID,C(=[N-])=S,spin-crossover,high-spin,lig_1
LAYREJ01,C(=[N-])=S,high-spin,high-spin,lig_1
LAYQUY,C(=[N-])=S,high-spin,high-spin,lig_1
LAYRAF,C(=[N-])=S,high-spin,high-spin,lig_1
LOQPAI,C(=[N-])=S,high-spin,high-spin,lig_1
QAHVIE,C(=[N-])=S,spin-crossover,high-spin,lig_1
FADVUC,C(=[N-])=S,spin-crossover,high-spin,lig_1
GAKKOS03,C(=[N-])=S,spin-crossover,high-spin,lig_1
