ccdc_id,smi,rename_id,Spin-state behaviour,Spin-state of crystal structure
ABISOV,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S,comp_1,spin-crossover,high-spin
ABISOV02,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S,comp_1,spin-crossover,low-spin
ABITEM,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S,comp_1,spin-crossover,high-spin
ABITEM01,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S,comp_1,spin-crossover,low-spin
ABITUC01,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S,comp_1,spin-crossover,high-spin
ABITUC,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S,comp_1,spin-crossover,low-spin
ABIVAK,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S,comp_1,spin-crossover,high-spin
ABIVAK01,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S,comp_1,spin-crossover,low-spin
EBOTOG,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S,comp_1,spin-crossover,high-spin
EBOTOG01,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S,comp_1,spin-crossover,low-spin
EBOVAU,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S,comp_1,high-spin,high-spin
LUWSUS01,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S,comp_1,spin-crossover,high-spin
LUWSUS,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S,comp_1,spin-crossover,mixture
LUWSUS03,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S,comp_1,spin-crossover,high-spin
LUWSUS02,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S,comp_1,spin-crossover,mixture
LUWSUS06,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S,comp_1,spin-crossover,high-spin
LUWSUS05,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S,comp_1,spin-crossover,mixture
LUWSUS04,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S,comp_1,spin-crossover,low-spin
LUWSUS09,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S,comp_1,spin-crossover,high-spin
LUWSUS07,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S,comp_1,spin-crossover,low-spin
LUWTED02,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S,comp_1,spin-crossover,high-spin
LUWTED01,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S,comp_1,spin-crossover,mixture
LUWTED,c1cc[n+]2c(c1)C[N+]34[Fe]2([n+]5ccccc5C3)([n+]6ccccc6C4)(N=C=S)N=C=S,comp_1,spin-crossover,low-spin
ABIWAK,Cn1c[n+]2c(n1)-c3cncc[n+]3[Fe]245([n+]6ccncc6-c7[n+]4cn(n7)C)[n+]8ccncc8-c9[n+]5cn(n9)C,comp_2,spin-crossover,low-spin
ABUFOV,Cn1c2ccccc2[n+]3c1-c4cccc-5[n+]4[Fe]367(n8c5nc9c8cccc9)n1c2ccccc2nc1-c1[n+]6c(ccc1)-c1[n+]7c2ccccc2n1C,comp_3,low-spin,low-spin
ABUGAI,CCn1c2ccccc2[n+]3c1-c4cccc-5[n+]4[Fe]367(n8c5nc9c8cccc9)n1c2ccccc2nc1-c1[n+]6c(ccc1)-c1[n+]7c2ccccc2n1CC,comp_4,low-spin,low-spin
GAPSIA,c1cc-2[n+]3c(c1)-n4ccc[n+]4[Fe]356([n+]7n2ccc7)[n+]8cccn8-c9[n+]5c(ccc9)-n1[n+]6ccc1,comp_5,high-spin,high-spin
ADIYUH,c1cc-2[n+]3c(c1)-n4ccc[n+]4[Fe]356([n+]7n2ccc7)[n+]8cccn8-c9[n+]5c(ccc9)-n1[n+]6ccc1,comp_5,high-spin,high-spin
GAPSOG,c1cc-2[n+]3c(c1)-n4ccc[n+]4[Fe]356([n+]7n2ccc7)[n+]8cccn8-c9[n+]5c(ccc9)-n1[n+]6ccc1,comp_5,high-spin,high-spin
OZOGIV,c1cc-2[n+]3c(c1)-n4ccc[n+]4[Fe]356([n+]7n2ccc7)[n+]8cccn8-c9[n+]5c(ccc9)-n1[n+]6ccc1,comp_5,high-spin,high-spin
ECELAA,c1cc-2[n+]3c(c1)-n4ccc[n+]4[Fe]356([n+]7n2ccc7)[n+]8cccn8-c9[n+]5c(ccc9)-n1[n+]6ccc1,comp_5,high-spin,high-spin
ECELEE01,c1cc-2[n+]3c(c1)-n4ccc[n+]4[Fe]356([n+]7n2ccc7)[n+]8cccn8-c9[n+]5c(ccc9)-n1[n+]6ccc1,comp_5,spin-crossover,mixture
XENBEX06,c1cc-2[n+]3c(c1)-n4ccc[n+]4[Fe]356([n+]7n2ccc7)[n+]8cccn8-c9[n+]5c(ccc9)-n1[n+]6ccc1,comp_5,spin-crossover,high-spin
