ccdc_id,csd_density,csd_packing_coefficient,csd_void_percent,csd_hbonds_inter_count,csd_contacts_inter_total,csd_contacts_under_cutoff,csd_min_contact_distance
ABISOV,1.407693147709519,0.7005622689769766,0.7494793510465602,1,25,23,2.389959944570226
ABISOV02,1.482595736376014,0.7300347222222222,0.0,1,53,51,2.0294194728672528
ABITEM,1.3388282191896757,0.6898634771052313,0.0,1,15,14,2.414456650078871
ABITEM01,1.4096950813180322,0.7120218579234973,0.0,1,26,23,2.255537013578216
ABITUC01,1.3259992722150888,0.6797132616487456,0.0,1,14,14,2.368560779180763
ABITUC,1.4020234033540286,0.7296077904421645,0.0,1,28,26,2.4295005689677747
ABIVAK,1.4533365232890751,0.7061121669820325,0.0,0,42,41,2.5690780941552345
ABIVAK01,1.5356427546856806,0.7308392794221282,0.0,0,77,69,2.502703833578364
EBOTOG,1.5171228402011527,0.7197733602227985,0.0,0,34,31,2.622173591096117
EBOTOG01,1.564525757965345,0.7400931590656284,0.0,0,48,44,2.5592451586210414
EBOVAU,1.4300325424774818,0.7354237955162455,0.0,0,33,33,2.376886811303318
LUWSUS01,1.2006733438099235,0.5947504144409652,21.925462024927857,0,12,12,2.603647036288871
LUWSUS,1.2655893232347508,0.6168517436197156,19.955191895577634,0,20,18,2.5529487221283698
LUWSUS03,1.4055179542458422,0.6971204551023235,0.0,0,27,26,2.516596318814429
LUWSUS02,1.4755140365655774,0.7255057258132146,0.0,0,47,43,2.3722077170215945
LUWSUS06,1.405020119359768,0.695537450816954,2.3980712179469945,0,26,22,2.6767325285648944
LUWSUS05,1.4496328953348474,0.7116203262681591,0.0,0,32,31,2.65131377341172
LUWSUS04,1.4695073308029716,0.7127114692332084,0.3443194747542573,0,33,31,2.649548366849026
LUWSUS09,1.359959961988239,0.674151813633521,6.380941213258288,0,19,17,2.701461587150628
LUWSUS07,1.4547600619501917,0.7066247582205029,4.422492401215806,0,42,36,2.6630598700751413
LUWTED02,1.390631888980966,0.6898080376079171,0.6601796836878211,1,23,21,2.560743399098646
LUWTED01,1.4241799385050455,0.7049841772151899,0.0,1,28,25,2.3784703290001787
LUWTED,1.4946276229755855,0.7297230106279392,0.0,1,46,44,2.2528036316540088
ABIWAK,1.6119409633174138,0.7288812654850391,1.323422908328569,0,41,41,2.355484099194339
ABUFOV,1.3863207169697382,0.7465891794658918,4.965506335369349,0,9,9,2.601393483265635
ABUGAI,1.2910967427883762,0.7540575955210101,8.630766252717473,0,11,11,1.6290290816125157
GAPSIA,1.4547880252098484,0.7476300821571519,0.0,0,29,29,2.300249585190018
ADIYUH,1.5078293824299491,0.779688061848256,0.0,0,31,31,2.312277503486186
GAPSOG,1.625485262678867,0.770982066972633,0.0,0,31,24,2.355024189849529
OZOGIV,2.322014450861771,0.6758090740428403,1.63238320121437,0,64,49,2.6664193380608983
ECELAA,3.4612469515346134,0.7109315408085431,2.072845156369184,0,26,20,2.8283964501878813
ECELEE01,1.3339839856216822,0.7211404472780721,0.9879140567264874,0,105,95,2.101577406567614
XENBEX06,1.5526714494839111,0.736620019830539,0.0,0,34,34,2.334893390330491
XENBEX07,1.6336775525438032,0.7206162005617683,0.0,0,51,51,2.25946008575732
ADIYOB,1.59445174053708,0.7502464592394334,2.588491134158581,0,114,113,2.2194570350010654
LUXMOH,1.6064625537505155,0.728772278142026,0.0,0,61,46,2.312985915207655
LUXMOH01,1.6277306435316534,0.7311974155161995,1.045879235810905,0,72,54,2.360328973825957
ECELII,1.9388424444199377,0.7248493336728631,2.9466938290467706,0,39,34,2.340630513400843
AFANEB02,1.530887443952556,0.7120203946650228,3.606953193730053,0,38,37,2.30307451513354
AFANEB,1.5871421329433637,0.7278685067288808,2.5159819157209324,0,42,42,2.302578760320746
AFANIF02,1.542710642763498,0.7284671904646691,0.0,0,34,32,2.3853727549247807
AFOYUS02,1.5750776604496537,0.6790808823529412,0.0,0,13,13,2.580028612321574
AFOYUS,1.6838850765081068,0.7120976670685752,0.0,0,30,30,2.3878837786209632
AFUJOD01,1.5680689405686146,0.6360157583057312,8.802569507176553,0,8,8,2.841744494117443
AFOYOM,1.7255886256672284,0.7104567535485931,0.0,0,35,35,2.462937046498018
AJAXEP,1.4256811229179729,0.7180666505285241,1.4478939724037765,1,43,40,2.2757596272697453
AKEMUY,1.6129244998559282,0.6889214522731126,0.0,0,2,2,2.901026964798161
AKENAF,1.337562126343813,0.6890894175553732,0.0,0,5,4,2.353645947150972
AKENAF01,1.3970199587594083,0.7165164742326106,0.0,0,8,7,2.375381947790689
APAFEH,1.474378788778104,0.7307520799092867,0.0,7,42,41,1.7251662830192898
APAFEM01,1.3423381431656576,0.7003032963001782,1.0353343465045592,6,31,30,2.272413316294642
APAFEM05,1.3903962380400916,0.7090874792063248,0.0,7,33,33,2.217418240173416
FEPICC36,1.3267760870933056,0.691189622224105,0.0,7,24,23,2.320195102140844
FEPICC37,1.4171970300655536,0.7218939517002383,0.0,7,34,34,2.318326876140187
IBIXEX,1.3503314826609836,0.7365829779622883,0.0,6,28,27,2.2961151861429108
IBIWUM,1.3496767326784855,0.7297390784073593,2.180111623210897,7,33,32,2.170720810348965
IBIXAT10,1.3708090153304655,0.7158512575902305,0.0,7,25,25,2.3075604977017874
IBIXAT14,1.4259808904620717,0.7326025000160835,0.0,7,33,33,2.2960838032020003
IBIXIB,1.3176443922080625,0.710196790580639,0.6088876228457485,13,64,62,2.1755939955989976
DIXLUR10,1.5136870308430022,0.6787714026288482,1.4381918021445863,7,21,21,2.196227648196739
PUTGOC01,1.4841685511587142,0.7549551534513941,0.0,11,68,66,1.934212698988602
PUTGOC,1.493063692249362,0.7373895315584583,0.416505230530802,11,75,74,1.9301016706022809
PUTHAP01,1.4628244845371108,0.7182977785444579,0.0,11,46,46,2.1055439237522013
PUTHAP,1.5357838846381575,0.7461332359030569,0.0,11,60,60,2.0981335372168046
PUTHIX01,1.5589116234846034,0.666445623342175,0.0,6,14,14,2.1148784840620944
PUTHIX,1.696412216334355,0.7195035945035945,0.0,7,42,42,2.151794416993724
ATAVAU,1.5513368575504705,0.733642723880597,5.611473880597015,2,19,19,2.3029608258873324
ATAVEY01,1.5133188354212437,0.725421089488427,0.8831822202565237,2,10,9,2.3709135356006805
ATAVEY,1.5250646906214371,0.7198460820895523,1.94589552238806,2,14,13,2.499118517624233
DUSMAH,1.4881332617583511,0.6932195898161244,0.0,0,21,21,2.4091550451169432
DUSMAH03,1.5604171487897336,0.727284179665132,0.0,0,64,64,2.240647576338937
DUSMUB,1.5118768123297806,0.7269970161977835,0.0,0,40,40,2.2562758015567943
AWUKEK01,1.4692570053835772,0.7229059464076012,0.0,0,35,34,2.3115989527245357
IZADEU,1.4805459278939246,0.71984375,1.9177989130434785,0,34,32,2.1877631354136198
IZADEU01,1.544821293914777,0.7353209109730849,0.0,0,73,72,2.273627865778462
IZADOE,1.4902941860409475,0.6751851314069987,1.2742282207198432,0,32,32,2.2445283123505977
IZADUK01,1.157314982341184,0.6456585527968939,7.892582415355559,0,32,32,2.223025411659429
IZADUK,1.2070348475757848,0.6737811572653755,7.331773248093287,0,44,44,2.280817104182141
BAXXAB01,1.50545968558304,0.7526219022710205,0.0,2,21,18,2.517964061141251
BAYZEH01,1.540879521472855,0.7573063973063973,0.0,0,34,32,2.2244091925082885
BAYZEH,1.5834146691749054,0.7668418418418418,0.0,0,37,34,2.1432838851278606
BOCYOK02,1.4761416281898243,0.7153252453288821,0.0,0,7,7,2.6938619139121824
BOCYOK,1.5564368400030446,0.7400329139459574,0.0,0,16,14,2.190425551819441
BOCZEB03,1.6649159694189584,0.685449672424062,0.0,0,5,5,2.7379709180881635
BOCZEB,1.7611480606366257,0.7101074589127686,0.0,0,10,10,2.2155852460132155
BUNSIN,1.5154193691009925,0.71046237018068,0.0,0,16,16,2.2119357452034416
BUNSIN01,1.6016667976956709,0.759345976976947,0.0,0,39,39,2.168284867263341
ETUHIM,1.3390516621472228,0.7230112044817927,0.0,6,33,33,1.9684574436767883
ETUHIM02,1.40190385269262,0.7516558386256904,0.0,6,43,43,1.8885076783366812
ETUJEK,1.4332039313690397,0.7292375283446711,0.0,4,31,28,1.968196361782072
CATWUS,1.7248614570149674,0.7211165364583333,3.343098958333333,0,38,38,2.3814588554736376
CECVUD,1.39148005623162,0.6967931688804554,5.9095509171410505,0,18,17,2.6620403535731065
CERDEJ01,1.4009980399628017,0.750708898944193,0.0,0,7,7,2.313126740005192
COLJAO,1.583048292246939,0.7098259931522912,0.0,1,40,39,1.905199189124773
COMQUR,1.3378452018147198,0.7074787664488239,0.0,0,20,19,2.743920585858714
COMQUR01,1.393170944557121,0.7293830152958976,0.0,0,36,35,2.3412505974680693
COMRAY,1.8412822309952197,0.7125,0.0,0,21,18,2.391688659546167
COMREC,1.6333025782946882,0.7489762267159528,0.0,2,19,19,2.191514053611232
DEDNOQ,1.6564826615315928,0.7731499356499356,0.0,0,27,24,2.3959529097918844
JAFCEZ,1.5735815986132125,0.7890756302521008,0.0,0,58,56,2.118668112122755
JAFCEZ01,1.6524498913756978,0.8176795092457743,0.0,0,77,76,2.247473074486503
EMIPIZ01,1.6318046423732937,0.6923819825388241,0.0,0,41,41,1.3786474818880816
DEVDUD,1.5962445955599704,0.7213144016227181,0.6977687626774848,0,9,4,3.163525491303332
DOMQED,1.5358371969085274,0.7407397901895993,8.542555580507523,1,43,41,1.8329114722392876
DOMQIH,1.5816946685527813,0.7332224556489262,0.0,2,56,56,1.974770926970153
DOMQON,1.356211322477603,0.7091273442226256,6.609195402298851,0,21,20,1.973772984072369
DOMQUT02,1.4880452207918835,0.741696862231131,0.0,0,32,32,2.160162391974348
DOMQUT01,1.531059331243814,0.757262996941896,0.0,0,36,35,2.233969416363415
DOMQUT,1.5650675836673034,0.7411910267331954,0.0,0,38,37,2.166533054675775
DOQRAC,1.1462212570959505,0.6693168241555338,0.0,0,29,29,2.686312452897519
DOQRAC01,1.1810309346132437,0.6874460877562796,0.0,0,29,29,2.3391514727552205
DUCFOW,3.97155210920569,0.7358235294117647,0.0,0,14,14,2.418388498616615
DUKJAW01,1.4721136987509686,0.7193212669683258,2.357013574660633,2,13,12,2.3888499679531496
DUKJAW,1.5596961910039018,0.7512018140589569,0.0,2,20,19,2.5010355653503744
DUKJIE,1.5518813171271904,0.7618641659562375,0.0,0,27,24,2.5407978324907745
DULBUK02,1.5954628832759503,0.7416014361709149,0.0,0,32,30,2.318250342965594
DULBUK,1.491139382617687,0.6887140206557969,0.0,0,15,14,2.411885826486096
DULCIZ,1.6793090721188548,0.665041986824165,11.514201613211512,0,26,26,2.2639490329303578
DULCOF,1.2883880309870983,0.7104476060096695,2.022400517557084,0,53,53,2.255224800634778
DULDAS,1.656378811067031,0.7326747944110656,0.0,0,79,76,2.09082923529377
DUWHIO03,1.4858712602948143,0.7097674240831693,0.7109140596632714,1,7,7,2.5667448292624893
DUWHIO,1.6330059374404016,0.8558668813741277,0.0,1,30,29,2.336552454558636
EBUQAU01,1.732601115072637,0.7430243445692883,0.0,2,45,45,0.0140463937976983
EBUQAU,1.572368834164701,0.7962924784967133,0.0,2,42,42,1.7739801487300326
EGIPOC,1.14238454070451,0.6912972085385879,0.0,0,63,63,2.104218331503257
ENUBAR,1.6565075205406288,0.7370218579234973,0.0,0,43,43,1.941547495766809
ENUBAR02,1.5531922918908043,0.7094848231690337,0.0,0,27,26,1.9696850757458733
EYIJEB,1.7295409353983158,0.7605803694513372,0.0,8,48,48,2.026308394150207
FADVUC,1.438318747479486,0.7417780471466394,0.0,0,8,8,2.395052004218613
FEBPYC04,1.5592327941712767,0.7598083290140368,0.0,0,5,5,2.9132765468114785
FEBPYC02,1.5549184597055137,0.759908831908832,0.0,0,10,9,2.6242518887583457
QAHPIY02,2.5284555501530392,0.7758728014409833,1.8489086670904853,0,13,13,2.28396386791322
QAHPIY01,1.573451839610227,0.7451113248236871,0.8604359736550679,0,59,57,2.2712295844959773
