column,hash,SMARTS
Bit1,1992988605,[#6D2v4+0H2R](-[#6D2v4+0H2R]-[#6D2v4+0H2R])-[#7D2v3+0H1R]-[#6D3v4+0H0R]
Bit2,839420663,[#6D3v4+0H0R](-[#6D3v4+0H0R])(:[#7D3v4+1H0R]):[#16D2v2+0H0R]
Bit3,-1019248832,[#7D3v3+0H0R](-[#6D2v4+0H2R0]-[#6D1v4+0H3R0])(:[#7D2v3+0H0R]:[#7D2v3+0H0R]):[#6D2v4+0H1R]:[#7D3v4+1H0R]
Bit4,982166874,[#6D2v4+0H2R](-[#7D2v3+0H0R])-[#6D2v4+0H2R]
Bit5,23305191,[#7D3v4+1H0R](-[#6D3v4+0H0R])(-[#26D6v6+0H0R])=[#6D3v4+0H0R]
Bit6,1945779656,[#6D2v4+0H2R0](-[#6D3v4+0H0R])-[#7D4v4+1H0R]
Bit7,1707192517,[#26D6v6+0H0R](-[#7D4v4+1H0R](-[#6D2v4+0H2R])(-[#6D2v4+0H2R])-[#6D2v4+0H2R])(-[#7D4v4+1H0R](-[#6D2v4+0H2R])(-[#6D2v4+0H2R])-[#6D2v4+0H2R])(-[#7D3v4+1H1R](-[#6D2v4+0H2R])-[#6D2v4+0H2R])(-[#7D2v3+0H0R0]=[#6D2v4+0H0R0])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R])-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R]
Bit8,-1019248832,[#7D3v3+0H0R](-[#6D2v4+0H2R0]-[#6D1v4+0H3R0])(:[#7D2v3+0H0R]:[#7D2v3+0H0R]):[#6D2v4+0H1R]:[#7D3v4+1H0R]
Bit9,977500979,[#6D3v4+0H0R](-[#6D3v4+0H0R](:[#7D3v4+1H0R]):[#6D2v4+0H1R])(:[#7D3v3+0H0R](-[#7D2v3+0H1R0]):[#6D3v4+0H0R]):[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#7D2v3+0H0R]
Bit10,772480710,[#6D2v4+0H2R0](-[#7D3v3+0H0R](:[#7D3v4+1H0R]):[#6D2v4+0H1R])-[#6D2v4+0H1R0]=[#6D1v4+0H2R0]
Bit11,1711877108,[#6D3v4+0H0R](-[#16D2v2+0H0R0])(:[#6D2v4+0H1R]):[#6D2v4+0H1R]
Bit12,1055066629,[#7D3v4+1H0R](-[#26D6v6+0H0R](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])-[#7D3v4+1H0R])(:[#7D2v3+0H1R]:[#6D2v4+0H1R]):[#6D3v4+0H0R](-[#6D2v4+0H1R]):[#6D2v4+0H1R]
Bit13,1778063126,[#7D2v3+0H0R](:[#7D3v3+0H0R](-[#6D1v4+0H3R0]):[#6D2v4+0H1R]):[#6D3v4+0H0R](-[#6D3v4+0H0R]):[#7D3v4+1H0R]
Bit14,-1036113344,[#6D2v4+0H0R0]
Bit15,954504516,[#6D2v4+0H2R](-[#6D2v4+0H2R]-[#6D2v4+0H2R])-[#6D3v4+0H1R](-[#7D4v4+1H0R])-[#6D3v4+0H1R]
Bit16,612574731,[#6D1v4+0H1R0]
Bit17,828674680,[#6D3v4+0H0R](-[#6D3v4+0H0R](:[#6D2v4+0H1R]):[#6D2v4+0H1R])(:[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#6D3v4+0H0R]):[#7D2v3+0H1R]:[#6D2v4+0H1R]
Bit18,1437467897,[#7D3v3+0H0R](-[#6D2v4+0H2R0]-[#6D1v4+0H3R0])(:[#6D3v4+0H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R]):[#6D3v4+0H0R](-[#6D3v4+0H0R]):[#7D3v4+1H0R]
Bit19,-479424670,[#7D2v4+1H0R0](-[#26D6v6+0H0R])#[#6D2v4+0H0R0]
Bit20,1339476150,[#6D3v4+0H0R](-[#6D3v4+0H0R])(:[#6D3v4+0H0R]):[#6D2v4+0H1R]
Bit21,754666517,[#6D3v4+0H0R](-[#6D3v4+0H0R](:[#7D3v4+1H0R]):[#6D2v4+0H1R])(:[#6D3v4+0H0R](:[#6D2v4+0H1R]):[#7D3v3+0H0R]):[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#7D2v3+0H0R]
Bit22,992088266,[#6D2v4+0H1R](:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#7D3v3+0H0R](-[#5D4v4-1H0R]):[#7D3v4+1H0R]
Bit23,1866504608,[#6D3v4+0H0R](-[#7D2v3+0H0R]=[#7D3v4+1H0R])(:[#7D3v3+0H0R](-[#6D2v4+0H2R0]):[#6D2v4+0H1R]):[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#6D2v4+0H1R]
Bit24,-1065760320,[#6D3v4+0H0R](-[#7D3v3+0H0R])(:[#7D3v4+1H0R]):[#6D2v4+0H1R]
Bit25,887805242,[#6D3v4+0H1R](-[#7D3v4+1H0R])(-[#6D2v4+0H2R0])-[#6D2v4+0H2R]
Bit26,-1070570371,[#6D2v4+0H1R](:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#6D2v4+0H1R]:[#7D3v4+1H0R]
Bit27,751938446,[#7D2v3+0H0R0](-[#6D3v4+0H0R])=[#7D2v3+0H0R0]
Bit28,985087923,[#6D3v4+0H0R](-[#6D3v4+0H0R](:[#7D2v3+0H1R]):[#6D2v4+0H1R])(:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#6D3v4+0H0R](-[#8D1v2+0H1R0]):[#6D2v4+0H1R]
Bit29,1244007638,[#6D2v4+0H2R0](-[#7D3v3+0H0R](:[#7D2v3+0H0R]):[#6D2v4+0H1R])-[#6D2v4+0H2R0]-[#6D1v4+0H3R0]
Bit30,496454478,[#6D3v4+0H0R](-[#6D3v4+0H0R](:[#7D3v4+1H0R]):[#6D2v4+0H1R])(:[#7D2v3+0H1R]:[#6D2v4+0H1R]):[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#6D2v4+0H1R]
Bit31,524017141,[#6D3v4+0H0R](-[#6D3v4+0H0R])(:[#7D2v3+0H0R]):[#6D2v4+0H1R]
Bit32,1866504608,[#6D3v4+0H0R](-[#7D2v3+0H0R]=[#7D3v4+1H0R])(:[#7D3v3+0H0R](-[#6D2v4+0H2R0]):[#6D2v4+0H1R]):[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#6D2v4+0H1R]
Bit33,1557008866,[#6D3v4+0H0R](:[#6D2v4+0H1R]:[#6D2v4+0H1R])(:[#6D3v4+0H0R](-[#6D3v4+0H0R]):[#6D3v4+0H0R]):[#6D3v4+0H0R](:[#6D2v4+0H1R]):[#6D2v4+0H1R]
Bit34,976395797,[#6D3v4+0H0R](-[#16D2v2+0H0R0]-[#6D2v4+0H0R0])(:[#6D3v4+0H0R](-[#16D2v2+0H0R0]):[#6D3v4+0H0R]):[#6D3v4+0H0R](-[#6D3v4+0H0R]):[#7D3v3+0H0R]
Bit35,-1088023524,[#6D3v4+0H0R](-[#6D3v4+0H0R](:[#7D2v3+0H1R]):[#6D2v4+0H1R])(:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#6D2v4+0H1R]:[#6D2v4+0H1R]
Bit36,248165198,[#6D3v4+0H0R](-[#6D3v4+0H1R0](-[#6D1v4+0H3R0])-[#6D1v4+0H3R0])(:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#7D3v3+0H0R]
Bit37,816734030,[#6D3v4+0H0R](-[#6D3v4+0H0R0](-[#8D1v2+0H1R0])=[#8D1v2+0H0R0])(:[#6D2v4+0H1R]:[#6D3v4+0H0R]):[#6D2v4+0H1R]:[#6D2v4+0H1R]
Bit38,758496557,[#6D2v4+0H2R0](-[#53D1v1+0H0R0])-[#6D2v4+0H2R0]-[#7D3v3+0H0R]
Bit39,1626016656,[#6D2v4+0H2R](-[#7D3v4+1H0R](-[#26D6v6+0H0R])=[#6D3v4+0H0R])-[#6D2v4+0H2R]-[#7D3v4+1H1R]
Bit40,74167451,[#26D6v6+0H0R](-[#7D4v4+1H0R](-[#6D2v4+0H2R])(-[#6D2v4+0H2R])-[#6D2v4+0H2R])(-[#7D2v3+0H0R0]=[#6D2v4+0H0R0])(-[#7D2v3+0H0R0]=[#6D2v4+0H0R0])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#7D3v3+0H0R])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#7D3v3+0H0R])-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#7D3v3+0H0R]
