ccdc_id,The zeta parameter,The delta parameter,The sigma parameter,The theta parameter,Mean M-L BL 
ABISOV,0.273644,0.000695,87.588730,215.927314,2.132173
ABISOV02,0.062515,0.000052,43.786713,112.954562,1.963684
ABITEM,0.323452,0.000786,98.456689,250.247925,2.167200
ABITEM01,0.066332,0.000042,50.381371,135.809710,1.976776
ABITUC,0.089330,0.000082,51.708890,139.538374,1.975014
ABITUC01,0.355143,0.000953,99.873197,249.253348,2.165704
ABIVAK,0.351681,0.000993,95.837082,238.027510,2.160557
ABIVAK01,0.104570,0.000103,51.223593,138.054194,1.974387
ABIWAK,0.034990,0.000014,58.783492,179.377779,1.973132
ABUFOV,0.147099,0.000229,80.058156,262.678402,1.937029
ABUGAI,0.169994,0.000243,87.984998,279.964518,1.948853
ADIYOB,0.195209,0.000334,87.728814,285.676026,1.950228
ADIYUH,0.096904,0.000073,197.277525,802.313368,2.196413
AFANEB,0.261736,0.000555,92.889738,293.053879,1.967633
AFANEB02,0.186408,0.000259,155.177337,500.263752,2.166261
AFANIF02,0.183116,0.000237,155.837132,501.154371,2.164887
AFOYOM,0.064320,0.000054,41.979947,107.186825,1.961729
AFOYUS,0.090351,0.000081,52.886532,152.117067,1.973024
AFOYUS02,0.303011,0.000832,100.296548,268.384600,2.169294
AFUJOD01,0.202318,0.000408,69.481220,178.520588,2.078844
AJAXEP,0.141640,0.000154,62.617358,194.645023,2.158184
AKEMUY,0.096503,0.000082,38.053442,143.338736,1.965350
AKENAF,0.247416,0.000438,60.684760,221.614099,2.112175
AKENAF01,0.124950,0.000127,40.612767,147.455518,1.964841
APAFEH,0.128456,0.000117,49.828432,162.774257,2.007002
APAFEM01,0.066427,0.000032,95.502499,292.951235,2.197803
APAFEM05,0.097268,0.000076,57.369977,181.606706,2.016147
ATAVAU,0.143562,0.000170,39.599198,119.331917,1.961532
ATAVEY,0.131192,0.000139,38.664944,133.734858,1.974263
ATAVEY01,0.239042,0.000382,67.801355,283.110962,2.167627
AWUKEK01,0.296891,0.000665,140.896414,471.754604,2.194495
BAXXAB01,0.268004,0.000552,80.725922,248.763934,2.153121
BAYZEH,0.083161,0.000070,27.506308,100.597436,1.985357
BAYZEH01,0.224845,0.000391,49.764878,175.110950,2.163090
BOCYOK,0.009981,0.000001,23.414425,58.988114,1.967276
BOCYOK02,0.096276,0.000066,37.253106,105.060340,2.157221
BOCZEB,0.005422,0.000000,23.369076,60.294720,1.960707
BOCZEB03,0.026250,0.000006,34.736392,100.358054,2.137588
BUNSIN,0.149349,0.000153,90.722039,339.477085,2.196670
BUNSIN01,0.265639,0.000565,90.951830,291.598897,2.076867
CATWUS,0.078308,0.000047,67.194124,198.127442,2.217657
CECVUD,0.404751,0.001322,94.581120,250.564962,2.167016
CERDEJ01,0.202263,0.000322,47.033394,113.963794,2.182250
COLJAO,0.271486,0.000541,100.574906,359.242020,2.175656
COMQUR,0.400282,0.001262,76.926971,220.815973,2.146218
COMQUR01,0.110176,0.000108,46.744148,136.492206,1.959865
COMRAY,0.176496,0.000259,86.120993,285.601547,1.942875
COMREC,0.186550,0.000293,89.009153,292.593712,1.946608
DEDNOQ,0.144210,0.000172,201.937471,805.830803,2.192165
DEVDUD,0.005737,0.000000,49.957543,161.512924,1.971304
DIXLUR10,0.066610,0.000042,100.594857,322.996340,2.193742
DOMQED,0.288088,0.000692,82.722370,286.985683,1.962702
DOMQIH,0.283487,0.000665,83.785402,280.426285,1.962448
DOMQON,0.402942,0.001054,140.916851,566.607181,2.193975
DOMQUT,0.378922,0.001427,88.576870,320.019847,1.991445
DOMQUT01,0.470348,0.001728,114.367986,401.417832,2.082315
DOMQUT02,0.555763,0.002046,139.729820,487.090807,2.183283
DOQRAC,0.123030,0.000117,50.187438,125.111467,2.127252
DOQRAC01,0.235881,0.000411,37.630714,97.574608,2.014676
DUCFOW,0.065593,0.000032,64.314471,163.184760,1.989973
DUKJAW,0.140261,0.000165,41.041638,128.779014,1.957814
DUKJAW01,0.296209,0.000615,68.292785,273.707408,2.152636
DUKJIE,0.385853,0.000988,77.515518,315.105880,2.174880
DULBUK,0.401116,0.001074,134.757183,425.419826,2.178874
DULBUK02,0.372847,0.001075,99.673160,324.696232,2.022246
DULCIZ,0.400483,0.001254,91.498348,295.059140,2.000572
DULCOF,0.383019,0.001176,86.085438,279.402311,1.979684
DULDAS,0.219295,0.000410,91.444483,297.772250,1.948221
DUSMAH,0.291615,0.000647,135.933326,450.477837,2.171917
DUSMAH03,0.272374,0.000605,115.268477,385.799147,2.087521
DUSMUB,0.285673,0.000605,141.361471,473.068882,2.190993
DUWHIO,0.147985,0.000186,57.032730,165.384083,1.957986
DUWHIO03,0.050321,0.000019,51.663453,224.658318,2.069916
EBOTOG,0.358349,0.000972,97.573373,240.833358,2.170603
EBOTOG01,0.292801,0.000699,89.538386,217.845129,2.129262
EBOVAU,0.338385,0.001016,105.456612,276.989470,2.166711
EBUQAU,0.023315,0.000004,54.595370,177.568440,1.985395
EBUQAU01,0.020284,0.000002,103.248431,282.911135,2.192168
ECELAA,0.123595,0.000163,172.669873,686.174626,2.178004
ECELEE01,0.158347,0.000236,122.265838,436.644776,2.069060
ECELII,0.161798,0.000212,148.813138,485.065968,2.167159
EGIPOC,0.165137,0.000248,85.694782,276.800307,1.943426
EMIPIZ01,0.141666,0.000161,179.661252,592.852927,2.184543
ENUBAR,0.047629,0.000020,54.438498,178.058846,1.971291
ENUBAR02,0.070536,0.000047,98.681714,275.592333,2.178399
ETUHIM,0.138474,0.000159,87.755888,349.159665,2.197824
ETUHIM02,0.191858,0.000315,58.184144,208.876716,2.053203
ETUJEK,0.134992,0.000129,91.083234,353.271227,2.186614
EYIJEB,0.046002,0.000024,59.036636,186.755177,1.972204
FADVUC,0.235576,0.000385,102.544889,289.439874,2.173141
FEBPYC02,0.056876,0.000028,45.713380,143.245291,1.959150
FEBPYC04,0.320988,0.000716,64.973895,248.264400,2.133316
FEISXC01,0.004679,0.000000,9.407026,23.060521,2.172492
FEKYEA,0.084161,0.000059,77.620982,250.179227,1.939540
FENFOW,0.364688,0.001333,112.008014,357.775995,1.955458
FEPICC36,0.088198,0.000057,101.713798,315.325718,2.195187
FEPICC37,0.084504,0.000058,60.235550,186.454686,2.010702
FETPYR,0.447587,0.001318,13.930105,52.755294,2.199470
FIJTIC,0.770508,0.003972,106.390735,288.928184,2.178572
FIWXEP,0.170563,0.000246,47.458992,114.884678,2.172181
FIWXIT,0.223255,0.000341,38.174671,93.721059,2.164971
FIWXOZ,0.081586,0.000058,3.157927,11.682829,1.991850
FIWXOZ01,0.123950,0.000161,19.293465,47.323945,2.080537
