ccdc_id,misc-dent-ax,misc-dent-eq,f-chi-0-ax,f-chi-1-ax,f-chi-2-ax,f-chi-3-ax,f-Z-0-ax,f-Z-1-ax,f-Z-2-ax,f-Z-3-ax,f-I-0-ax,f-I-1-ax,f-I-2-ax,f-I-3-ax,f-T-0-ax,f-T-1-ax,f-T-2-ax,f-T-3-ax,f-S-0-ax,f-S-1-ax,f-S-2-ax,f-S-3-ax,f-chi-0-eq,f-chi-1-eq,f-chi-2-eq,f-chi-3-eq,f-Z-0-eq,f-Z-1-eq,f-Z-2-eq,f-Z-3-eq,f-I-0-eq,f-I-1-eq,f-I-2-eq,f-I-3-eq,f-T-0-eq,f-T-1-eq,f-T-2-eq,f-T-3-eq,f-S-0-eq,f-S-1-eq,f-S-2-eq,f-S-3-eq,lc-chi-0-ax,lc-chi-1-ax,lc-chi-2-ax,lc-chi-3-ax,lc-Z-0-ax,lc-Z-1-ax,lc-Z-2-ax,lc-Z-3-ax,lc-I-1-ax,lc-I-2-ax,lc-I-3-ax,lc-T-0-ax,lc-T-1-ax,lc-T-2-ax,lc-T-3-ax,lc-S-0-ax,lc-S-1-ax,lc-S-2-ax,lc-S-3-ax,lc-chi-0-eq,lc-chi-1-eq,lc-chi-2-eq,lc-chi-3-eq,lc-Z-0-eq,lc-Z-1-eq,lc-Z-2-eq,lc-Z-3-eq,lc-I-1-eq,lc-I-2-eq,lc-I-3-eq,lc-T-0-eq,lc-T-1-eq,lc-T-2-eq,lc-T-3-eq,lc-S-0-eq,lc-S-1-eq,lc-S-2-eq,lc-S-3-eq,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-2-all,mc-I-3-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,D_lc-chi-1-ax,D_lc-chi-2-ax,D_lc-chi-3-ax,D_lc-Z-1-ax,D_lc-Z-2-ax,D_lc-Z-3-ax,D_lc-T-1-ax,D_lc-T-2-ax,D_lc-T-3-ax,D_lc-S-1-ax,D_lc-S-2-ax,D_lc-S-3-ax,D_lc-chi-1-eq,D_lc-chi-2-eq,D_lc-chi-3-eq,D_lc-Z-1-eq,D_lc-Z-2-eq,D_lc-Z-3-eq,D_lc-T-1-eq,D_lc-T-2-eq,D_lc-T-3-eq,D_lc-S-1-eq,D_lc-S-2-eq,D_lc-S-3-eq,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all
ABISOV,4.000000,2.000000,241.131400,536.571000,872.502000,1067.775600,862.000000,2052.000000,2760.000000,2748.000000,40.000000,84.000000,138.000000,174.000000,222.000000,552.000000,774.000000,852.000000,15.386400,38.438400,56.405400,62.995800,95.310800,197.965000,301.291600,355.925200,514.666667,868.000000,1069.333333,916.000000,15.333333,30.666667,47.333333,58.000000,78.000000,189.333333,259.333333,284.000000,6.592667,14.630000,19.821800,20.998600,9.241600,15.504000,29.944000,43.745600,49.000000,84.000000,133.000000,119.000000,2.000000,4.000000,6.000000,4.000000,12.000000,22.000000,20.000000,0.562500,1.155000,2.010000,2.250000,9.241600,11.628000,20.783467,15.787733,49.000000,63.000000,124.833333,65.333333,1.500000,2.833333,2.000000,2.833333,9.333333,11.833333,10.833333,0.562500,0.866250,1.411250,0.945000,3.348900,33.379200,51.331500,73.675800,676.000000,1092.000000,1716.000000,2002.000000,11.000000,17.000000,102.000000,204.000000,174.000000,1.562500,5.625000,10.587500,12.487500,289.281300,660.653400,1283.785800,1919.373600,2220.000000,4788.000000,8110.000000,10574.000000,47.000000,104.000000,194.000000,300.000000,298.000000,840.000000,1524.000000,2016.000000,21.340500,55.140000,97.515400,141.190800,0.980000,2.310000,3.850000,2.000000,9.000000,25.000000,-2.000000,-3.000000,2.000000,-0.040000,0.320000,1.500000,0.735000,1.776667,0.886667,1.500000,2.000000,4.666667,-1.500000,1.500000,0.833333,-0.030000,0.243333,0.240000,-7.260000,-7.920000,-9.150000,114.000000,220.000000,365.000000,19.000000,32.000000,73.000000,3.000000,5.280000,11.260000
ABISOV02,4.000000,2.000000,241.131400,536.571000,872.502000,1067.775600,862.000000,2052.000000,2760.000000,2748.000000,40.000000,84.000000,138.000000,174.000000,222.000000,552.000000,774.000000,852.000000,15.386400,38.438400,56.405400,62.995800,95.310800,197.965000,301.291600,355.925200,514.666667,868.000000,1069.333333,916.000000,15.333333,30.666667,47.333333,58.000000,78.000000,189.333333,259.333333,284.000000,6.592667,14.630000,19.821800,20.998600,9.241600,15.504000,29.944000,43.745600,49.000000,84.000000,133.000000,119.000000,2.000000,4.000000,6.000000,4.000000,12.000000,22.000000,20.000000,0.562500,1.155000,2.010000,2.250000,9.241600,11.628000,20.783467,15.787733,49.000000,63.000000,124.833333,65.333333,1.500000,2.833333,2.000000,2.833333,9.333333,11.833333,10.833333,0.562500,0.866250,1.411250,0.945000,3.348900,33.379200,51.331500,73.675800,676.000000,1092.000000,1716.000000,2002.000000,11.000000,17.000000,102.000000,204.000000,174.000000,1.562500,5.625000,10.587500,12.487500,289.281300,660.653400,1283.785800,1919.373600,2220.000000,4788.000000,8110.000000,10574.000000,47.000000,104.000000,194.000000,300.000000,298.000000,840.000000,1524.000000,2016.000000,21.340500,55.140000,97.515400,141.190800,0.980000,2.310000,3.850000,2.000000,9.000000,25.000000,-2.000000,-3.000000,2.000000,-0.040000,0.320000,1.500000,0.735000,1.776667,0.886667,1.500000,2.000000,4.666667,-1.500000,1.500000,0.833333,-0.030000,0.243333,0.240000,-7.260000,-7.920000,-9.150000,114.000000,220.000000,365.000000,19.000000,32.000000,73.000000,3.000000,5.280000,11.260000
ABITEM,4.000000,2.000000,241.131400,536.571000,872.502000,1067.775600,862.000000,2052.000000,2760.000000,2748.000000,40.000000,84.000000,138.000000,174.000000,222.000000,552.000000,774.000000,852.000000,15.386400,38.438400,56.405400,62.995800,95.310800,197.965000,301.291600,355.925200,514.666667,868.000000,1069.333333,916.000000,15.333333,30.666667,47.333333,58.000000,78.000000,189.333333,259.333333,284.000000,6.592667,14.630000,19.821800,20.998600,9.241600,15.504000,29.944000,43.745600,49.000000,84.000000,133.000000,119.000000,2.000000,4.000000,6.000000,4.000000,12.000000,22.000000,20.000000,0.562500,1.155000,2.010000,2.250000,9.241600,11.628000,20.783467,15.787733,49.000000,63.000000,124.833333,65.333333,1.500000,2.833333,2.000000,2.833333,9.333333,11.833333,10.833333,0.562500,0.866250,1.411250,0.945000,3.348900,33.379200,51.331500,73.675800,676.000000,1092.000000,1716.000000,2002.000000,11.000000,17.000000,102.000000,204.000000,174.000000,1.562500,5.625000,10.587500,12.487500,289.281300,660.653400,1283.785800,1919.373600,2220.000000,4788.000000,8110.000000,10574.000000,47.000000,104.000000,194.000000,300.000000,298.000000,840.000000,1524.000000,2016.000000,21.340500,55.140000,97.515400,141.190800,0.980000,2.310000,3.850000,2.000000,9.000000,25.000000,-2.000000,-3.000000,2.000000,-0.040000,0.320000,1.500000,0.735000,1.776667,0.886667,1.500000,2.000000,4.666667,-1.500000,1.500000,0.833333,-0.030000,0.243333,0.240000,-7.260000,-7.920000,-9.150000,114.000000,220.000000,365.000000,19.000000,32.000000,73.000000,3.000000,5.280000,11.260000
ABITEM01,4.000000,2.000000,241.131400,536.571000,872.502000,1067.775600,862.000000,2052.000000,2760.000000,2748.000000,40.000000,84.000000,138.000000,174.000000,222.000000,552.000000,774.000000,852.000000,15.386400,38.438400,56.405400,62.995800,95.310800,197.965000,301.291600,355.925200,514.666667,868.000000,1069.333333,916.000000,15.333333,30.666667,47.333333,58.000000,78.000000,189.333333,259.333333,284.000000,6.592667,14.630000,19.821800,20.998600,9.241600,15.504000,29.944000,43.745600,49.000000,84.000000,133.000000,119.000000,2.000000,4.000000,6.000000,4.000000,12.000000,22.000000,20.000000,0.562500,1.155000,2.010000,2.250000,9.241600,11.628000,20.783467,15.787733,49.000000,63.000000,124.833333,65.333333,1.500000,2.833333,2.000000,2.833333,9.333333,11.833333,10.833333,0.562500,0.866250,1.411250,0.945000,3.348900,33.379200,51.331500,73.675800,676.000000,1092.000000,1716.000000,2002.000000,11.000000,17.000000,102.000000,204.000000,174.000000,1.562500,5.625000,10.587500,12.487500,289.281300,660.653400,1283.785800,1919.373600,2220.000000,4788.000000,8110.000000,10574.000000,47.000000,104.000000,194.000000,300.000000,298.000000,840.000000,1524.000000,2016.000000,21.340500,55.140000,97.515400,141.190800,0.980000,2.310000,3.850000,2.000000,9.000000,25.000000,-2.000000,-3.000000,2.000000,-0.040000,0.320000,1.500000,0.735000,1.776667,0.886667,1.500000,2.000000,4.666667,-1.500000,1.500000,0.833333,-0.030000,0.243333,0.240000,-7.260000,-7.920000,-9.150000,114.000000,220.000000,365.000000,19.000000,32.000000,73.000000,3.000000,5.280000,11.260000
ABITUC,4.000000,2.000000,241.131400,536.571000,872.502000,1067.775600,862.000000,2052.000000,2760.000000,2748.000000,40.000000,84.000000,138.000000,174.000000,222.000000,552.000000,774.000000,852.000000,15.386400,38.438400,56.405400,62.995800,95.310800,197.965000,301.291600,355.925200,514.666667,868.000000,1069.333333,916.000000,15.333333,30.666667,47.333333,58.000000,78.000000,189.333333,259.333333,284.000000,6.592667,14.630000,19.821800,20.998600,9.241600,15.504000,29.944000,43.745600,49.000000,84.000000,133.000000,119.000000,2.000000,4.000000,6.000000,4.000000,12.000000,22.000000,20.000000,0.562500,1.155000,2.010000,2.250000,9.241600,11.628000,20.783467,15.787733,49.000000,63.000000,124.833333,65.333333,1.500000,2.833333,2.000000,2.833333,9.333333,11.833333,10.833333,0.562500,0.866250,1.411250,0.945000,3.348900,33.379200,51.331500,73.675800,676.000000,1092.000000,1716.000000,2002.000000,11.000000,17.000000,102.000000,204.000000,174.000000,1.562500,5.625000,10.587500,12.487500,289.281300,660.653400,1283.785800,1919.373600,2220.000000,4788.000000,8110.000000,10574.000000,47.000000,104.000000,194.000000,300.000000,298.000000,840.000000,1524.000000,2016.000000,21.340500,55.140000,97.515400,141.190800,0.980000,2.310000,3.850000,2.000000,9.000000,25.000000,-2.000000,-3.000000,2.000000,-0.040000,0.320000,1.500000,0.735000,1.776667,0.886667,1.500000,2.000000,4.666667,-1.500000,1.500000,0.833333,-0.030000,0.243333,0.240000,-7.260000,-7.920000,-9.150000,114.000000,220.000000,365.000000,19.000000,32.000000,73.000000,3.000000,5.280000,11.260000
ABITUC01,4.000000,2.000000,241.131400,536.571000,872.502000,1067.775600,862.000000,2052.000000,2760.000000,2748.000000,40.000000,84.000000,138.000000,174.000000,222.000000,552.000000,774.000000,852.000000,15.386400,38.438400,56.405400,62.995800,95.310800,197.965000,301.291600,355.925200,514.666667,868.000000,1069.333333,916.000000,15.333333,30.666667,47.333333,58.000000,78.000000,189.333333,259.333333,284.000000,6.592667,14.630000,19.821800,20.998600,9.241600,15.504000,29.944000,43.745600,49.000000,84.000000,133.000000,119.000000,2.000000,4.000000,6.000000,4.000000,12.000000,22.000000,20.000000,0.562500,1.155000,2.010000,2.250000,9.241600,11.628000,20.783467,15.787733,49.000000,63.000000,124.833333,65.333333,1.500000,2.833333,2.000000,2.833333,9.333333,11.833333,10.833333,0.562500,0.866250,1.411250,0.945000,3.348900,33.379200,51.331500,73.675800,676.000000,1092.000000,1716.000000,2002.000000,11.000000,17.000000,102.000000,204.000000,174.000000,1.562500,5.625000,10.587500,12.487500,289.281300,660.653400,1283.785800,1919.373600,2220.000000,4788.000000,8110.000000,10574.000000,47.000000,104.000000,194.000000,300.000000,298.000000,840.000000,1524.000000,2016.000000,21.340500,55.140000,97.515400,141.190800,0.980000,2.310000,3.850000,2.000000,9.000000,25.000000,-2.000000,-3.000000,2.000000,-0.040000,0.320000,1.500000,0.735000,1.776667,0.886667,1.500000,2.000000,4.666667,-1.500000,1.500000,0.833333,-0.030000,0.243333,0.240000,-7.260000,-7.920000,-9.150000,114.000000,220.000000,365.000000,19.000000,32.000000,73.000000,3.000000,5.280000,11.260000
ABIVAK,4.000000,2.000000,241.131400,536.571000,872.502000,1067.775600,862.000000,2052.000000,2760.000000,2748.000000,40.000000,84.000000,138.000000,174.000000,222.000000,552.000000,774.000000,852.000000,15.386400,38.438400,56.405400,62.995800,95.310800,197.965000,301.291600,355.925200,514.666667,868.000000,1069.333333,916.000000,15.333333,30.666667,47.333333,58.000000,78.000000,189.333333,259.333333,284.000000,6.592667,14.630000,19.821800,20.998600,9.241600,15.504000,29.944000,43.745600,49.000000,84.000000,133.000000,119.000000,2.000000,4.000000,6.000000,4.000000,12.000000,22.000000,20.000000,0.562500,1.155000,2.010000,2.250000,9.241600,11.628000,20.783467,15.787733,49.000000,63.000000,124.833333,65.333333,1.500000,2.833333,2.000000,2.833333,9.333333,11.833333,10.833333,0.562500,0.866250,1.411250,0.945000,3.348900,33.379200,51.331500,73.675800,676.000000,1092.000000,1716.000000,2002.000000,11.000000,17.000000,102.000000,204.000000,174.000000,1.562500,5.625000,10.587500,12.487500,289.281300,660.653400,1283.785800,1919.373600,2220.000000,4788.000000,8110.000000,10574.000000,47.000000,104.000000,194.000000,300.000000,298.000000,840.000000,1524.000000,2016.000000,21.340500,55.140000,97.515400,141.190800,0.980000,2.310000,3.850000,2.000000,9.000000,25.000000,-2.000000,-3.000000,2.000000,-0.040000,0.320000,1.500000,0.735000,1.776667,0.886667,1.500000,2.000000,4.666667,-1.500000,1.500000,0.833333,-0.030000,0.243333,0.240000,-7.260000,-7.920000,-9.150000,114.000000,220.000000,365.000000,19.000000,32.000000,73.000000,3.000000,5.280000,11.260000
ABIVAK01,4.000000,2.000000,241.131400,536.571000,872.502000,1067.775600,862.000000,2052.000000,2760.000000,2748.000000,40.000000,84.000000,138.000000,174.000000,222.000000,552.000000,774.000000,852.000000,15.386400,38.438400,56.405400,62.995800,95.310800,197.965000,301.291600,355.925200,514.666667,868.000000,1069.333333,916.000000,15.333333,30.666667,47.333333,58.000000,78.000000,189.333333,259.333333,284.000000,6.592667,14.630000,19.821800,20.998600,9.241600,15.504000,29.944000,43.745600,49.000000,84.000000,133.000000,119.000000,2.000000,4.000000,6.000000,4.000000,12.000000,22.000000,20.000000,0.562500,1.155000,2.010000,2.250000,9.241600,11.628000,20.783467,15.787733,49.000000,63.000000,124.833333,65.333333,1.500000,2.833333,2.000000,2.833333,9.333333,11.833333,10.833333,0.562500,0.866250,1.411250,0.945000,3.348900,33.379200,51.331500,73.675800,676.000000,1092.000000,1716.000000,2002.000000,11.000000,17.000000,102.000000,204.000000,174.000000,1.562500,5.625000,10.587500,12.487500,289.281300,660.653400,1283.785800,1919.373600,2220.000000,4788.000000,8110.000000,10574.000000,47.000000,104.000000,194.000000,300.000000,298.000000,840.000000,1524.000000,2016.000000,21.340500,55.140000,97.515400,141.190800,0.980000,2.310000,3.850000,2.000000,9.000000,25.000000,-2.000000,-3.000000,2.000000,-0.040000,0.320000,1.500000,0.735000,1.776667,0.886667,1.500000,2.000000,4.666667,-1.500000,1.500000,0.833333,-0.030000,0.243333,0.240000,-7.260000,-7.920000,-9.150000,114.000000,220.000000,365.000000,19.000000,32.000000,73.000000,3.000000,5.280000,11.260000
ABIWAK,2.000000,2.000000,125.605500,275.574200,426.739400,402.286600,504.000000,1154.000000,1550.000000,1282.000000,19.000000,40.000000,62.000000,60.000000,102.000000,240.000000,310.000000,276.000000,7.921100,19.066000,26.699800,24.366000,125.605500,275.574200,426.739400,402.286600,504.000000,1154.000000,1550.000000,1282.000000,19.000000,40.000000,62.000000,60.000000,102.000000,240.000000,310.000000,276.000000,7.921100,19.066000,26.699800,24.366000,9.241600,15.504000,31.433600,32.923200,49.000000,84.000000,140.000000,147.000000,2.000000,4.000000,4.000000,4.000000,12.000000,19.000000,17.000000,0.562500,1.155000,1.995000,1.980000,9.241600,15.504000,31.433600,32.923200,49.000000,84.000000,140.000000,147.000000,2.000000,4.000000,4.000000,4.000000,12.000000,19.000000,17.000000,0.562500,1.155000,1.995000,1.980000,3.348900,33.379200,55.998000,85.534200,676.000000,1092.000000,1872.000000,2184.000000,12.000000,18.000000,108.000000,216.000000,234.000000,1.562500,5.625000,11.550000,14.175000,380.165400,893.481000,1669.462200,2159.694600,2188.000000,5646.000000,9864.000000,12456.000000,58.000000,132.000000,240.000000,318.000000,372.000000,1008.000000,1746.000000,2322.000000,25.325800,68.448000,120.074400,160.443000,0.980000,1.820000,1.330000,2.000000,8.000000,7.000000,-2.000000,-1.500000,-0.500000,-0.040000,0.340000,0.360000,0.980000,1.820000,1.330000,2.000000,8.000000,7.000000,-2.000000,-1.500000,-0.500000,-0.040000,0.340000,0.360000,-7.260000,-8.640000,-13.800000,114.000000,240.000000,384.000000,18.000000,36.000000,69.000000,3.000000,5.760000,11.160000
ABUFOV,3.000000,3.000000,244.018000,561.714000,913.158400,1061.959800,979.000000,2388.000000,3580.000000,3660.000000,39.000000,86.000000,140.000000,166.000000,226.000000,570.000000,830.000000,868.000000,16.587100,42.026600,64.211200,69.418200,244.018000,561.714000,913.158400,1061.959800,979.000000,2388.000000,3580.000000,3660.000000,39.000000,86.000000,140.000000,166.000000,226.000000,570.000000,830.000000,868.000000,16.587100,42.026600,64.211200,69.418200,9.241600,15.504000,32.497600,43.061600,49.000000,84.000000,175.000000,203.000000,2.000000,4.000000,5.500000,4.000000,12.000000,23.000000,28.000000,0.562500,1.155000,2.295000,2.861250,9.241600,15.504000,31.504533,53.083467,49.000000,84.000000,170.333333,235.666667,2.000000,4.000000,6.500000,4.000000,12.000000,23.666667,28.000000,0.562500,1.155000,2.305000,3.208750,3.348900,33.379200,55.998000,78.250800,676.000000,1092.000000,1872.000000,2600.000000,12.000000,16.000000,108.000000,216.000000,276.000000,1.562500,5.625000,11.550000,15.300000,491.384900,1190.186400,2215.560800,3012.696400,2634.000000,6960.000000,12374.000000,16496.000000,79.000000,184.000000,334.000000,460.000000,518.000000,1428.000000,2502.000000,3328.000000,34.736700,95.303200,168.397400,224.996400,0.980000,1.470000,2.555000,2.000000,3.000000,9.500000,-2.000000,-3.500000,-3.000000,-0.040000,-0.060000,0.310000,0.980000,1.796667,2.298333,2.000000,3.666667,11.833333,-2.000000,-3.833333,-1.000000,-0.040000,-0.073333,0.596667,-7.260000,-8.640000,-13.480000,114.000000,240.000000,316.000000,18.000000,36.000000,50.000000,3.000000,5.760000,7.760000
