ccdc_id,misc-dent-ax,misc-dent-eq,f-chi-0-ax,f-chi-1-ax,f-chi-2-ax,f-chi-3-ax,f-Z-0-ax,f-Z-1-ax,f-Z-2-ax,f-Z-3-ax,f-I-0-ax,f-I-1-ax,f-I-2-ax,f-I-3-ax,f-T-0-ax,f-T-1-ax,f-T-2-ax,f-T-3-ax,f-S-0-ax,f-S-1-ax,f-S-2-ax,f-S-3-ax,f-chi-0-eq,f-chi-1-eq,f-chi-2-eq,f-chi-3-eq,f-Z-0-eq,f-Z-1-eq,f-Z-2-eq,f-Z-3-eq,f-I-0-eq,f-I-1-eq,f-I-2-eq,f-I-3-eq,f-T-0-eq,f-T-1-eq,f-T-2-eq,f-T-3-eq,f-S-0-eq,f-S-1-eq,f-S-2-eq,f-S-3-eq,lc-chi-0-ax,lc-chi-1-ax,lc-chi-2-ax,lc-chi-3-ax,lc-Z-0-ax,lc-Z-1-ax,lc-Z-2-ax,lc-Z-3-ax,lc-I-1-ax,lc-I-2-ax,lc-I-3-ax,lc-T-0-ax,lc-T-1-ax,lc-T-2-ax,lc-T-3-ax,lc-S-0-ax,lc-S-1-ax,lc-S-2-ax,lc-S-3-ax,lc-chi-0-eq,lc-chi-1-eq,lc-chi-2-eq,lc-chi-3-eq,lc-Z-0-eq,lc-Z-1-eq,lc-Z-2-eq,lc-Z-3-eq,lc-I-1-eq,lc-I-2-eq,lc-I-3-eq,lc-T-0-eq,lc-T-1-eq,lc-T-2-eq,lc-T-3-eq,lc-S-0-eq,lc-S-1-eq,lc-S-2-eq,lc-S-3-eq,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-2-all,mc-I-3-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,D_lc-chi-1-ax,D_lc-chi-2-ax,D_lc-chi-3-ax,D_lc-Z-1-ax,D_lc-Z-2-ax,D_lc-Z-3-ax,D_lc-T-1-ax,D_lc-T-2-ax,D_lc-T-3-ax,D_lc-S-1-ax,D_lc-S-2-ax,D_lc-S-3-ax,D_lc-chi-1-eq,D_lc-chi-2-eq,D_lc-chi-3-eq,D_lc-Z-1-eq,D_lc-Z-2-eq,D_lc-Z-3-eq,D_lc-T-1-eq,D_lc-T-2-eq,D_lc-T-3-eq,D_lc-S-1-eq,D_lc-S-2-eq,D_lc-S-3-eq,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,ion_1,ion_2,ion_3,ion_4,ion_5,ion_6,ion_7,ion_8,ion_9,ion_10,ion_11,ion_12,ion_13,ion_14,ion_15,ion_16,ion_17,ion_18,ion_19,ion_20,ion_21,ion_22,ion_23,ion_24,ion_25,ion_26,ion_27,ion_28,ion_29,ion_30,ion_31,solv_1,solv_2,solv_3,solv_4,solv_5,solv_6,solv_7,solv_8,solv_9,solv_10,solv_11,solv_12,solv_13,solv_14,solv_15,solv_16,solv_17,solv_18,solv_19,solv_20,solv_21
ABISOV,4.0,2.0,241.1314,536.571,872.502,1067.7756,862.0,2052.0,2760.0,2748.0,40.0,84.0,138.0,174.0,222.0,552.0,774.0,852.0,15.3864,38.4384,56.4054,62.9958,95.3108,197.965,301.2916,355.9252,514.666667,868.0,1069.333333,916.0,15.333333,30.666667,47.333333,58.0,78.0,189.333333,259.333333,284.0,6.592667,14.63,19.8218,20.9986,9.2416,15.504,29.944,43.7456,49.0,84.0,133.0,119.0,2.0,4.0,6.0,4.0,12.0,22.0,20.0,0.5625,1.155,2.01,2.25,9.2416,11.628,20.783467,15.787733,49.0,63.0,124.833333,65.333333,1.5,2.833333,2.0,2.833333,9.333333,11.833333,10.833333,0.5625,0.86625,1.41125,0.945,3.3489,33.3792,51.3315,73.6758,676.0,1092.0,1716.0,2002.0,11.0,17.0,102.0,204.0,174.0,1.5625,5.625,10.5875,12.4875,289.2813,660.6534,1283.7858,1919.3736,2220.0,4788.0,8110.0,10574.0,47.0,104.0,194.0,300.0,298.0,840.0,1524.0,2016.0,21.3405,55.14,97.5154,141.1908,0.98,2.31,3.85,2.0,9.0,25.0,-2.0,-3.0,2.0,-0.04,0.32,1.5,0.735,1.776667,0.886667,1.5,2.0,4.666667,-1.5,1.5,0.833333,-0.03,0.243333,0.24,-7.26,-7.92,-9.15,114.0,220.0,365.0,19.0,32.0,73.0,3.0,5.28,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ABISOV02,4.0,2.0,241.1314,536.571,872.502,1067.7756,862.0,2052.0,2760.0,2748.0,40.0,84.0,138.0,174.0,222.0,552.0,774.0,852.0,15.3864,38.4384,56.4054,62.9958,95.3108,197.965,301.2916,355.9252,514.666667,868.0,1069.333333,916.0,15.333333,30.666667,47.333333,58.0,78.0,189.333333,259.333333,284.0,6.592667,14.63,19.8218,20.9986,9.2416,15.504,29.944,43.7456,49.0,84.0,133.0,119.0,2.0,4.0,6.0,4.0,12.0,22.0,20.0,0.5625,1.155,2.01,2.25,9.2416,11.628,20.783467,15.787733,49.0,63.0,124.833333,65.333333,1.5,2.833333,2.0,2.833333,9.333333,11.833333,10.833333,0.5625,0.86625,1.41125,0.945,3.3489,33.3792,51.3315,73.6758,676.0,1092.0,1716.0,2002.0,11.0,17.0,102.0,204.0,174.0,1.5625,5.625,10.5875,12.4875,289.2813,660.6534,1283.7858,1919.3736,2220.0,4788.0,8110.0,10574.0,47.0,104.0,194.0,300.0,298.0,840.0,1524.0,2016.0,21.3405,55.14,97.5154,141.1908,0.98,2.31,3.85,2.0,9.0,25.0,-2.0,-3.0,2.0,-0.04,0.32,1.5,0.735,1.776667,0.886667,1.5,2.0,4.666667,-1.5,1.5,0.833333,-0.03,0.243333,0.24,-7.26,-7.92,-9.15,114.0,220.0,365.0,19.0,32.0,73.0,3.0,5.28,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ABITEM,4.0,2.0,241.1314,536.571,872.502,1067.7756,862.0,2052.0,2760.0,2748.0,40.0,84.0,138.0,174.0,222.0,552.0,774.0,852.0,15.3864,38.4384,56.4054,62.9958,95.3108,197.965,301.2916,355.9252,514.666667,868.0,1069.333333,916.0,15.333333,30.666667,47.333333,58.0,78.0,189.333333,259.333333,284.0,6.592667,14.63,19.8218,20.9986,9.2416,15.504,29.944,43.7456,49.0,84.0,133.0,119.0,2.0,4.0,6.0,4.0,12.0,22.0,20.0,0.5625,1.155,2.01,2.25,9.2416,11.628,20.783467,15.787733,49.0,63.0,124.833333,65.333333,1.5,2.833333,2.0,2.833333,9.333333,11.833333,10.833333,0.5625,0.86625,1.41125,0.945,3.3489,33.3792,51.3315,73.6758,676.0,1092.0,1716.0,2002.0,11.0,17.0,102.0,204.0,174.0,1.5625,5.625,10.5875,12.4875,289.2813,660.6534,1283.7858,1919.3736,2220.0,4788.0,8110.0,10574.0,47.0,104.0,194.0,300.0,298.0,840.0,1524.0,2016.0,21.3405,55.14,97.5154,141.1908,0.98,2.31,3.85,2.0,9.0,25.0,-2.0,-3.0,2.0,-0.04,0.32,1.5,0.735,1.776667,0.886667,1.5,2.0,4.666667,-1.5,1.5,0.833333,-0.03,0.243333,0.24,-7.26,-7.92,-9.15,114.0,220.0,365.0,19.0,32.0,73.0,3.0,5.28,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ABITEM01,4.0,2.0,241.1314,536.571,872.502,1067.7756,862.0,2052.0,2760.0,2748.0,40.0,84.0,138.0,174.0,222.0,552.0,774.0,852.0,15.3864,38.4384,56.4054,62.9958,95.3108,197.965,301.2916,355.9252,514.666667,868.0,1069.333333,916.0,15.333333,30.666667,47.333333,58.0,78.0,189.333333,259.333333,284.0,6.592667,14.63,19.8218,20.9986,9.2416,15.504,29.944,43.7456,49.0,84.0,133.0,119.0,2.0,4.0,6.0,4.0,12.0,22.0,20.0,0.5625,1.155,2.01,2.25,9.2416,11.628,20.783467,15.787733,49.0,63.0,124.833333,65.333333,1.5,2.833333,2.0,2.833333,9.333333,11.833333,10.833333,0.5625,0.86625,1.41125,0.945,3.3489,33.3792,51.3315,73.6758,676.0,1092.0,1716.0,2002.0,11.0,17.0,102.0,204.0,174.0,1.5625,5.625,10.5875,12.4875,289.2813,660.6534,1283.7858,1919.3736,2220.0,4788.0,8110.0,10574.0,47.0,104.0,194.0,300.0,298.0,840.0,1524.0,2016.0,21.3405,55.14,97.5154,141.1908,0.98,2.31,3.85,2.0,9.0,25.0,-2.0,-3.0,2.0,-0.04,0.32,1.5,0.735,1.776667,0.886667,1.5,2.0,4.666667,-1.5,1.5,0.833333,-0.03,0.243333,0.24,-7.26,-7.92,-9.15,114.0,220.0,365.0,19.0,32.0,73.0,3.0,5.28,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ABITUC,4.0,2.0,241.1314,536.571,872.502,1067.7756,862.0,2052.0,2760.0,2748.0,40.0,84.0,138.0,174.0,222.0,552.0,774.0,852.0,15.3864,38.4384,56.4054,62.9958,95.3108,197.965,301.2916,355.9252,514.666667,868.0,1069.333333,916.0,15.333333,30.666667,47.333333,58.0,78.0,189.333333,259.333333,284.0,6.592667,14.63,19.8218,20.9986,9.2416,15.504,29.944,43.7456,49.0,84.0,133.0,119.0,2.0,4.0,6.0,4.0,12.0,22.0,20.0,0.5625,1.155,2.01,2.25,9.2416,11.628,20.783467,15.787733,49.0,63.0,124.833333,65.333333,1.5,2.833333,2.0,2.833333,9.333333,11.833333,10.833333,0.5625,0.86625,1.41125,0.945,3.3489,33.3792,51.3315,73.6758,676.0,1092.0,1716.0,2002.0,11.0,17.0,102.0,204.0,174.0,1.5625,5.625,10.5875,12.4875,289.2813,660.6534,1283.7858,1919.3736,2220.0,4788.0,8110.0,10574.0,47.0,104.0,194.0,300.0,298.0,840.0,1524.0,2016.0,21.3405,55.14,97.5154,141.1908,0.98,2.31,3.85,2.0,9.0,25.0,-2.0,-3.0,2.0,-0.04,0.32,1.5,0.735,1.776667,0.886667,1.5,2.0,4.666667,-1.5,1.5,0.833333,-0.03,0.243333,0.24,-7.26,-7.92,-9.15,114.0,220.0,365.0,19.0,32.0,73.0,3.0,5.28,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ABITUC01,4.0,2.0,241.1314,536.571,872.502,1067.7756,862.0,2052.0,2760.0,2748.0,40.0,84.0,138.0,174.0,222.0,552.0,774.0,852.0,15.3864,38.4384,56.4054,62.9958,95.3108,197.965,301.2916,355.9252,514.666667,868.0,1069.333333,916.0,15.333333,30.666667,47.333333,58.0,78.0,189.333333,259.333333,284.0,6.592667,14.63,19.8218,20.9986,9.2416,15.504,29.944,43.7456,49.0,84.0,133.0,119.0,2.0,4.0,6.0,4.0,12.0,22.0,20.0,0.5625,1.155,2.01,2.25,9.2416,11.628,20.783467,15.787733,49.0,63.0,124.833333,65.333333,1.5,2.833333,2.0,2.833333,9.333333,11.833333,10.833333,0.5625,0.86625,1.41125,0.945,3.3489,33.3792,51.3315,73.6758,676.0,1092.0,1716.0,2002.0,11.0,17.0,102.0,204.0,174.0,1.5625,5.625,10.5875,12.4875,289.2813,660.6534,1283.7858,1919.3736,2220.0,4788.0,8110.0,10574.0,47.0,104.0,194.0,300.0,298.0,840.0,1524.0,2016.0,21.3405,55.14,97.5154,141.1908,0.98,2.31,3.85,2.0,9.0,25.0,-2.0,-3.0,2.0,-0.04,0.32,1.5,0.735,1.776667,0.886667,1.5,2.0,4.666667,-1.5,1.5,0.833333,-0.03,0.243333,0.24,-7.26,-7.92,-9.15,114.0,220.0,365.0,19.0,32.0,73.0,3.0,5.28,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ABIVAK,4.0,2.0,241.1314,536.571,872.502,1067.7756,862.0,2052.0,2760.0,2748.0,40.0,84.0,138.0,174.0,222.0,552.0,774.0,852.0,15.3864,38.4384,56.4054,62.9958,95.3108,197.965,301.2916,355.9252,514.666667,868.0,1069.333333,916.0,15.333333,30.666667,47.333333,58.0,78.0,189.333333,259.333333,284.0,6.592667,14.63,19.8218,20.9986,9.2416,15.504,29.944,43.7456,49.0,84.0,133.0,119.0,2.0,4.0,6.0,4.0,12.0,22.0,20.0,0.5625,1.155,2.01,2.25,9.2416,11.628,20.783467,15.787733,49.0,63.0,124.833333,65.333333,1.5,2.833333,2.0,2.833333,9.333333,11.833333,10.833333,0.5625,0.86625,1.41125,0.945,3.3489,33.3792,51.3315,73.6758,676.0,1092.0,1716.0,2002.0,11.0,17.0,102.0,204.0,174.0,1.5625,5.625,10.5875,12.4875,289.2813,660.6534,1283.7858,1919.3736,2220.0,4788.0,8110.0,10574.0,47.0,104.0,194.0,300.0,298.0,840.0,1524.0,2016.0,21.3405,55.14,97.5154,141.1908,0.98,2.31,3.85,2.0,9.0,25.0,-2.0,-3.0,2.0,-0.04,0.32,1.5,0.735,1.776667,0.886667,1.5,2.0,4.666667,-1.5,1.5,0.833333,-0.03,0.243333,0.24,-7.26,-7.92,-9.15,114.0,220.0,365.0,19.0,32.0,73.0,3.0,5.28,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABIVAK01,4.0,2.0,241.1314,536.571,872.502,1067.7756,862.0,2052.0,2760.0,2748.0,40.0,84.0,138.0,174.0,222.0,552.0,774.0,852.0,15.3864,38.4384,56.4054,62.9958,95.3108,197.965,301.2916,355.9252,514.666667,868.0,1069.333333,916.0,15.333333,30.666667,47.333333,58.0,78.0,189.333333,259.333333,284.0,6.592667,14.63,19.8218,20.9986,9.2416,15.504,29.944,43.7456,49.0,84.0,133.0,119.0,2.0,4.0,6.0,4.0,12.0,22.0,20.0,0.5625,1.155,2.01,2.25,9.2416,11.628,20.783467,15.787733,49.0,63.0,124.833333,65.333333,1.5,2.833333,2.0,2.833333,9.333333,11.833333,10.833333,0.5625,0.86625,1.41125,0.945,3.3489,33.3792,51.3315,73.6758,676.0,1092.0,1716.0,2002.0,11.0,17.0,102.0,204.0,174.0,1.5625,5.625,10.5875,12.4875,289.2813,660.6534,1283.7858,1919.3736,2220.0,4788.0,8110.0,10574.0,47.0,104.0,194.0,300.0,298.0,840.0,1524.0,2016.0,21.3405,55.14,97.5154,141.1908,0.98,2.31,3.85,2.0,9.0,25.0,-2.0,-3.0,2.0,-0.04,0.32,1.5,0.735,1.776667,0.886667,1.5,2.0,4.666667,-1.5,1.5,0.833333,-0.03,0.243333,0.24,-7.26,-7.92,-9.15,114.0,220.0,365.0,19.0,32.0,73.0,3.0,5.28,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABIWAK,2.0,2.0,125.6055,275.5742,426.7394,402.2866,504.0,1154.0,1550.0,1282.0,19.0,40.0,62.0,60.0,102.0,240.0,310.0,276.0,7.9211,19.066,26.6998,24.366,125.6055,275.5742,426.7394,402.2866,504.0,1154.0,1550.0,1282.0,19.0,40.0,62.0,60.0,102.0,240.0,310.0,276.0,7.9211,19.066,26.6998,24.366,9.2416,15.504,31.4336,32.9232,49.0,84.0,140.0,147.0,2.0,4.0,4.0,4.0,12.0,19.0,17.0,0.5625,1.155,1.995,1.98,9.2416,15.504,31.4336,32.9232,49.0,84.0,140.0,147.0,2.0,4.0,4.0,4.0,12.0,19.0,17.0,0.5625,1.155,1.995,1.98,3.3489,33.3792,55.998,85.5342,676.0,1092.0,1872.0,2184.0,12.0,18.0,108.0,216.0,234.0,1.5625,5.625,11.55,14.175,380.1654,893.481,1669.4622,2159.6946,2188.0,5646.0,9864.0,12456.0,58.0,132.0,240.0,318.0,372.0,1008.0,1746.0,2322.0,25.3258,68.448,120.0744,160.443,0.98,1.82,1.33,2.0,8.0,7.0,-2.0,-1.5,-0.5,-0.04,0.34,0.36,0.98,1.82,1.33,2.0,8.0,7.0,-2.0,-1.5,-0.5,-0.04,0.34,0.36,-7.26,-8.64,-13.8,114.0,240.0,384.0,18.0,36.0,69.0,3.0,5.76,11.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ABUFOV,3.0,3.0,244.018,561.714,913.1584,1061.9598,979.0,2388.0,3580.0,3660.0,39.0,86.0,140.0,166.0,226.0,570.0,830.0,868.0,16.5871,42.0266,64.2112,69.4182,244.018,561.714,913.1584,1061.9598,979.0,2388.0,3580.0,3660.0,39.0,86.0,140.0,166.0,226.0,570.0,830.0,868.0,16.5871,42.0266,64.2112,69.4182,9.2416,15.504,32.4976,43.0616,49.0,84.0,175.0,203.0,2.0,4.0,5.5,4.0,12.0,23.0,28.0,0.5625,1.155,2.295,2.86125,9.2416,15.504,31.504533,53.083467,49.0,84.0,170.333333,235.666667,2.0,4.0,6.5,4.0,12.0,23.666667,28.0,0.5625,1.155,2.305,3.20875,3.3489,33.3792,55.998,78.2508,676.0,1092.0,1872.0,2600.0,12.0,16.0,108.0,216.0,276.0,1.5625,5.625,11.55,15.3,491.3849,1190.1864,2215.5608,3012.6964,2634.0,6960.0,12374.0,16496.0,79.0,184.0,334.0,460.0,518.0,1428.0,2502.0,3328.0,34.7367,95.3032,168.3974,224.9964,0.98,1.47,2.555,2.0,3.0,9.5,-2.0,-3.5,-3.0,-0.04,-0.06,0.31,0.98,1.796667,2.298333,2.0,3.666667,11.833333,-2.0,-3.833333,-1.0,-0.04,-0.073333,0.596667,-7.26,-8.64,-13.48,114.0,240.0,316.0,18.0,36.0,50.0,3.0,5.76,7.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
