ccdc_id,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-2-all,mc-I-3-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all
ABISOV,3.348900,33.379200,51.331500,73.675800,676.000000,1092.000000,1716.000000,2002.000000,11.000000,17.000000,102.000000,204.000000,174.000000,1.562500,5.625000,10.587500,12.487500,289.281300,660.653400,1283.785800,1919.373600,2220.000000,4788.000000,8110.000000,10574.000000,47.000000,104.000000,194.000000,300.000000,298.000000,840.000000,1524.000000,2016.000000,21.340500,55.140000,97.515400,141.190800,-7.260000,-7.920000,-9.150000,114.000000,220.000000,365.000000,19.000000,32.000000,73.000000,3.000000,5.280000,11.260000
ABISOV02,3.348900,33.379200,51.331500,73.675800,676.000000,1092.000000,1716.000000,2002.000000,11.000000,17.000000,102.000000,204.000000,174.000000,1.562500,5.625000,10.587500,12.487500,289.281300,660.653400,1283.785800,1919.373600,2220.000000,4788.000000,8110.000000,10574.000000,47.000000,104.000000,194.000000,300.000000,298.000000,840.000000,1524.000000,2016.000000,21.340500,55.140000,97.515400,141.190800,-7.260000,-7.920000,-9.150000,114.000000,220.000000,365.000000,19.000000,32.000000,73.000000,3.000000,5.280000,11.260000
ABITEM,3.348900,33.379200,51.331500,73.675800,676.000000,1092.000000,1716.000000,2002.000000,11.000000,17.000000,102.000000,204.000000,174.000000,1.562500,5.625000,10.587500,12.487500,289.281300,660.653400,1283.785800,1919.373600,2220.000000,4788.000000,8110.000000,10574.000000,47.000000,104.000000,194.000000,300.000000,298.000000,840.000000,1524.000000,2016.000000,21.340500,55.140000,97.515400,141.190800,-7.260000,-7.920000,-9.150000,114.000000,220.000000,365.000000,19.000000,32.000000,73.000000,3.000000,5.280000,11.260000
ABITEM01,3.348900,33.379200,51.331500,73.675800,676.000000,1092.000000,1716.000000,2002.000000,11.000000,17.000000,102.000000,204.000000,174.000000,1.562500,5.625000,10.587500,12.487500,289.281300,660.653400,1283.785800,1919.373600,2220.000000,4788.000000,8110.000000,10574.000000,47.000000,104.000000,194.000000,300.000000,298.000000,840.000000,1524.000000,2016.000000,21.340500,55.140000,97.515400,141.190800,-7.260000,-7.920000,-9.150000,114.000000,220.000000,365.000000,19.000000,32.000000,73.000000,3.000000,5.280000,11.260000
ABITUC,3.348900,33.379200,51.331500,73.675800,676.000000,1092.000000,1716.000000,2002.000000,11.000000,17.000000,102.000000,204.000000,174.000000,1.562500,5.625000,10.587500,12.487500,289.281300,660.653400,1283.785800,1919.373600,2220.000000,4788.000000,8110.000000,10574.000000,47.000000,104.000000,194.000000,300.000000,298.000000,840.000000,1524.000000,2016.000000,21.340500,55.140000,97.515400,141.190800,-7.260000,-7.920000,-9.150000,114.000000,220.000000,365.000000,19.000000,32.000000,73.000000,3.000000,5.280000,11.260000
ABITUC01,3.348900,33.379200,51.331500,73.675800,676.000000,1092.000000,1716.000000,2002.000000,11.000000,17.000000,102.000000,204.000000,174.000000,1.562500,5.625000,10.587500,12.487500,289.281300,660.653400,1283.785800,1919.373600,2220.000000,4788.000000,8110.000000,10574.000000,47.000000,104.000000,194.000000,300.000000,298.000000,840.000000,1524.000000,2016.000000,21.340500,55.140000,97.515400,141.190800,-7.260000,-7.920000,-9.150000,114.000000,220.000000,365.000000,19.000000,32.000000,73.000000,3.000000,5.280000,11.260000
ABIVAK,3.348900,33.379200,51.331500,73.675800,676.000000,1092.000000,1716.000000,2002.000000,11.000000,17.000000,102.000000,204.000000,174.000000,1.562500,5.625000,10.587500,12.487500,289.281300,660.653400,1283.785800,1919.373600,2220.000000,4788.000000,8110.000000,10574.000000,47.000000,104.000000,194.000000,300.000000,298.000000,840.000000,1524.000000,2016.000000,21.340500,55.140000,97.515400,141.190800,-7.260000,-7.920000,-9.150000,114.000000,220.000000,365.000000,19.000000,32.000000,73.000000,3.000000,5.280000,11.260000
ABIVAK01,3.348900,33.379200,51.331500,73.675800,676.000000,1092.000000,1716.000000,2002.000000,11.000000,17.000000,102.000000,204.000000,174.000000,1.562500,5.625000,10.587500,12.487500,289.281300,660.653400,1283.785800,1919.373600,2220.000000,4788.000000,8110.000000,10574.000000,47.000000,104.000000,194.000000,300.000000,298.000000,840.000000,1524.000000,2016.000000,21.340500,55.140000,97.515400,141.190800,-7.260000,-7.920000,-9.150000,114.000000,220.000000,365.000000,19.000000,32.000000,73.000000,3.000000,5.280000,11.260000
ABIWAK,3.348900,33.379200,55.998000,85.534200,676.000000,1092.000000,1872.000000,2184.000000,12.000000,18.000000,108.000000,216.000000,234.000000,1.562500,5.625000,11.550000,14.175000,380.165400,893.481000,1669.462200,2159.694600,2188.000000,5646.000000,9864.000000,12456.000000,58.000000,132.000000,240.000000,318.000000,372.000000,1008.000000,1746.000000,2322.000000,25.325800,68.448000,120.074400,160.443000,-7.260000,-8.640000,-13.800000,114.000000,240.000000,384.000000,18.000000,36.000000,69.000000,3.000000,5.760000,11.160000
ABUFOV,3.348900,33.379200,55.998000,78.250800,676.000000,1092.000000,1872.000000,2600.000000,12.000000,16.000000,108.000000,216.000000,276.000000,1.562500,5.625000,11.550000,15.300000,491.384900,1190.186400,2215.560800,3012.696400,2634.000000,6960.000000,12374.000000,16496.000000,79.000000,184.000000,334.000000,460.000000,518.000000,1428.000000,2502.000000,3328.000000,34.736700,95.303200,168.397400,224.996400,-7.260000,-8.640000,-13.480000,114.000000,240.000000,316.000000,18.000000,36.000000,50.000000,3.000000,5.760000,7.760000
